Hiligaynon Phrase,English Phrase
Kinahanglan mag-bátu’ kita para sa aton kinamatarung.,We need to fight for our rights.
Ang batúbaláni’ nagabutong sang mga metal.,The magnet pulls metal objects.
Ginbatúbatú ku ang mangá lítra.,I spelled the letters.
Nag-debate sila sa pag-bátuk sa bag-o nga layi.,They debated to oppose the new law.
Dilaw ang kolor sang bátug sang itlog.,The color of the egg yolk is yellow.
Malipayon niya nga gin-bátun ang iya regalo.,He happily received his gift.
May dala nga batúta ang pulis nga nagabantay.,The guard policeman is carrying a club.
Ginagamit ni Nanay ang bátya’ sa paglaba.,Mother uses the washbasin for doing laundry.
May maayo ako nga bátyag sa sining aga.,I have a good feeling this morning.
Mahinay maglakat ang ba’ú.,The land turtle walks slowly.
Indi na pwede kaunon ang ba’úg nga itlog.,The rotten egg can no longer be eaten.
Ang mag-asawa nga báw’as nag-adoptar sang bata.,The barren couple adopted a child.
Gusto niya báwi’ ang iya napanubli nga duta.,He wants to reclaim his inherited land.
Nagbawtisár ang pári sang mangá báta.,The priest baptized the children.
Ginbayá’an sang asáwa ang íya bána.,The wife left the husband.
Namit ang prutas sang bayábas kon hinog na.,The guava fruit is delicious when it is ripe.
Pila ang imo báyad sa plete sa dyip?,How much is your payment for the jeepney fare?
Maayo ang pagtratar sang iya bayáw sa iya.,His sibling-in-law treats him well.
Gin-báyaw sang pari ang ostiya.,The priest elevated the host.
Malipayon ang mga bata nga nagahampang sa báybay.,The children playing on the beach are happy.
Madamo sing tawo sa baylíhan kon Sabado sang gabii.,There are many people at the dancehall on Saturday nights.
Ginbayluhán ku ang báyu’ sang sapátus.,I exchanged the dress for a pair of shoes.
Nagbayú kamí sang humáy.,We pounded some rice.
Manami ang imo báyu’ nga ginsuksok.,Your clothes that you are wearing now are nice.
Ginkarga nila ang mga binakal sa bayú’ung.,They loaded the purchases into the palm leaf bag.
May bentáha’ ang tawo nga madamo sing nahibaluan.,A person who knows a lot has an advantage.
Bérde ang duag sang mga dahon sang kahoy.,The color of the tree leaves is green.
Nagbasa kami sang isa ka bersíkulu halin sa Bibliya.,We read a verse from the Bible.
béynte num twenty; /ika-/ twentieth.,
Ang mga bíbi nagalangoy sa sulod sang punong.,The ducks are swimming inside the pond.
Namula ang iya bibíg tungod sang lipstick.,Her lips turned red because of the lipstick.
Ang Bíbliya amo ang pulong sang Diyos.,The Bible is the word of God.
Ginbuligan namon ang mga biktíma sang baha.,We helped the victims of the flood.
Malaba ang bigúti sang iya lolo.,His grandfather's moustache is long.
Ang mga bíhag ginpagwa na sang mga militar.,The captives were released by the military.
Ginbílang akú nga myérmbro sang famílya.,I was considered a member of the family.
Ang bilánggu yara sa sulod sang karsel.,The prisoner is inside the jail.
Ang iya bilás amo ang bana sang iya manghod.,His bilas is the husband of his younger sibling.
Mataas ang bilí sang mga pagkaon sa subong.,The cost of food is high right now.
Ginbilíd ku ang téla.,I looked at the cloth closely.
Amo ini ang iya katapusan nga bílin sa amon.,This is his final request to us.
Pila ang bilín nga kwarta sa imo pitaka?,How much is the remainder of the money in your wallet?
Hatagi ako sang isa ka bílug nga tinapay.,Give me one piece of bread.
Bilúg ang porma sang bola.,The shape of the ball is round.
Mahilig sia maghampang sang bílyar kon hapon.,He likes playing billiards in the afternoon.
Kinahanglan mo sang bilyéte para makasulod sa sinehan.,You need a ticket to enter the cinema.
I-binágbinág mo sing maayo ang imo desisyon.,Consider your decision well.
Gingamit ni Tatay ang binágun sa pag-utod sang kawayan.,Father used the machete to cut the bamboo.
Nagtanom kami sang mga bínhi’ sang luy-a.,We planted the ginger seedlings.
Nag-inom sila sang bíno sa selebrasyon.,They drank wine during the celebration.
Buksan mo ang bintána’ para magsulod ang hangin.,Open the window so the air can come in.
May bingáw ang iya unto sa unahan.,He has a missing tooth in the front.
Ginbíngkal ni Pédro ang bintána’.,Pedro broke the window.
Nagpangamuyo sila sa Mahal nga bírhen.,They prayed to the Blessed Virgin.
Nagbís’ak si Juan sang galatúng.,Juan split some firewood.
Nagkádtu sya sa eskwelahán bisán malúya ang íya láwas.,He went to school even though he is not feeling well.
Pwede ka magbakal sang bisán anú nga gusto mo.,You can buy anything you want.
Makakadto kita sa bisán di’ín nga lugar.,We can go to anywhere [any place].
Maeskwela ako bisán pa maga-ulan.,I will go to school even though it will rain.
Bisán sín’u pwede magpasakop sa programa.,Anybody can join the program.
Proud ako nga isa ka bisáya’.,I am proud to be a Visayan.
Sia ang nagserbe nga bísi presidente sang grupo.,He served as the vice president of the group.
Ginagamit niya ang iya bisikléta pakadto sa obra.,He uses his bicycle to go to work.
May nag-abot kami nga mga bisíta halin sa Manila.,We have visitors who arrived from Manila.
Kanami sang bísta halin sa ibabaw sang bukid.,The view from the top of the mountain is nice.
Ang pagpanigarilyo isa ka malain nga bísyu.,Smoking is a bad vice.
Ginbítad ni María ang téla.,Maria spread out the cloth.
Ang prutas madamo sing bitamína.,Fruit has many vitamins.
Ginbítay ang kriminál.,The criminal was hanged.
Nagbítbit akú sang báskit.,I carried a basket.
May mga bitík ang kuring gani dapat ini limpyohan.,"The cat has fleas, so it must be cleaned."
Nakakita ako sang daku nga bitín sa kakahuyan.,I saw a large snake in the woods.
Masanag ang mga bitú’un sa langit kon gabii.,The stars in the sky are bright at night.
Ginbiyá’an nilá ang íla baláy.,They abandoned their house.
Wala sia sing nasulat sa blángko nga papel.,He has nothing written on the blank paper.
Matahum ang iya bag-o nga blósa.,Her new blouse is beautiful.
Kinahanglan naton padamuon ang aton bokabuláryo.,We need to increase our vocabulary.
Ang mga gamit nakatago sa sulod sang bodéga.,The items are stored inside the warehouse.
Naghampang ang mga bata sang bóla sa plaza.,The children played with a ball at the plaza.
Ginagamit ang bómba para makuha ang tubig.,The pump is used to get water.
Nag-abot ang mga bombéro para patyon ang kalayo.,The firemen arrived to extinguish the fire.
Kinahanglan ilisan ang guba nga bombílya.,The broken electric bulb needs to be replaced.
Mabaskog ang tunog sang bómbo sa parada.,The sound of the drum in the parade is loud.
Diin mo ginbutang ang akon boradór?,Where did you put my eraser?
Kanami sang bórda sa imo bayo.,The embroidery on your dress is nice.
I-sulod ang tubig sa sulod sang botélya.,Put the water inside the bottle.
Nagbakal ako sang bulong sa botíka.,I bought medicine at the drug store.
Importante ang imo bóto sa eleksyon.,Your vote is important in the election.
Indi ka magpati sa mga hambal sang tawo nga bú’ang.,Do not believe the words of a crazy person.
Delikado magpalapit sa mga bu’áya.,It is dangerous to go near crocodiles.
Ginbúbu ku ang túbig sa batíya.,I poured the water into the basin.
Nagakuha kami sang tubig sa bubún.,We get water from the well.
Gin-kay-o nila ang guba nga bubungán.,They fixed the broken roof.
May gamay nga buká’ ang dingding sang balay.,The wall of the house has a small crack.
Nagbúkad ang búlak.,The flower opened.
Naga-bukál na ang tubig sa kalaha.,The water in the pan is already boiling.
Bukás ang pirtahan sang eskwelahan.,The school door is opened.
Ang búkaw makita kon gabii.,The owl can be seen at night.
May mga búkbuk ang daan nga kahoy.,The old wood has weevils.
Mataas ang búkid nga amon gintakas.,The mountain we climbed is high.
Masakit ang akon bukú sa tudlo.,My finger joint hurts.
Ano ang imo búku’ para sa aton selebrasyon?,What is your plan for our celebration?
Napilas ang iya bukúbukú sang sia nahulog.,His ankle was wounded when he fell.
Ang tigulang nga búktut naga-obra gihapon.,The hunchback elder is still working.
Búkud gid ang pagkapay sang bata sa iya nanay.,The child's hold on his mother is very secure.
May bukúl sia sa iya ulo tungod sa bunggo.,She has a lump on her head because of the bump.
Ginbúkut ku ang manúk pára magtámbuk.,I cooped up the chicken to fatten it.
Sunura ang ginahambal sang imo búdhi’.,Follow what your conscience says.
Búdlay gid ang mag-obra sa idalum sang init sang adlaw.,It is very difficult to work under the heat of the sun.
Ginbugá sang bolkán ang mangá bága.,The volcano belched out lava.
Ang iya kadalag-an amo ang amon bugál.,His victory is our pride.
Nagbakal si Tatay sang isa ka sako nga bugás.,Father bought one sack of unhusked rice.
Búg’at gid ang sako nga gindala ni Pedro.,The sack that Pedro carried is very heavy.
Ang ulan isa ka bugáy halin sa langit.,The rain is a blessing from heaven.
Nagbakal ako sang isa ka búgkus nga kahoy.,I bought one bundle of wood.
Ginbúgnu’ ku si Alfónso ka’ína.,I greeted Alfonso a little while ago.
Ginbúgras ku ang kolíntas.,I broke off the necklace.
Gamita ang búgsay para magdalagan ang baruto.,Use the oar to make the canoe move.
Ginbúgsuk nilá ang póste.,They thrust the post into the soil.
Ma-búgtaw ako sang temprano bwas.,I will waken early tomorrow.
Ginbúgtu’ ku ang lúbid.,I broke the string.
Sia ang búgtung nga anak sang mag-asawa.,He is the only child of the couple.
Gintanyag niya ang iya búg’us nga kabuhi.,He offered his entire life.
Buhahá’ sia kon mag-gasto sang iya kwarta.,He is extravagant when spending his money.
Ano ang imo búhat subong nga adlaw?,What are you doing today?
Ginhapay sang buháwi’ ang mga balay sa uma.,The tornado destroyed the houses on the farm.
Malipayon kami nga buhí’ pa ang amon pamilya.,We are happy that our family is still alive.
Ginbuhí’an ku ang píspis.,I set the bird free.
Nagbúhin akú sang apát ka mansánas sa lamésa.,I took out four apples from the table.
Kinahanglan naton magbayad sang aton buhís.,We need to pay our taxes.
May búhu’ ang iya medyas.,His socks have a hole.
Malaba kag maitum ang iya buhúk.,Her hair is long and black.
Madamo sing bulá’ ang sabon nga gingamit niya.,The soap she used has a lot of foam.
Namulak na ang mga búlak sa hardin.,The flowers in the garden are already blooming.
Ginbulákwit sang táwu ang maléta.,The man snatched the bag.
Nagbulád si Nena sang mangá báyu’.,Nena dried some clothes (under the sun).
Nagpalupad ang mga bata sang buladúr.,The children flew a kite.
Nagbúlag ang mag’asáwa.,The couple separated.
Nagabulig kami sa mga bulág nga nagatabok sa kalsada.,We help the blind crossing the street.
Buláhan gid ang tawo nga mapailubon.,The patient person is very fortunate.
Masanag ang búlan sa sining gabii.,The moon is bright tonight.
Nagabayad kami sang kuryente búlanbulan.,We pay for electricity monthly.
Nagbúlang si Pédro.,Pedro went to a cockfight.
Nag-búlaw sia gani na-late sia sa obra.,"He overslept, so he was late for work."
Ang iya singsing human sa buláwan.,Her ring is made of gold.
Ginbúlbug si José sang mangá hubúg.,Jose was beaten by drunk men.
Ang bolkán Kanlaon yara sa isla sang Negros.,Volcano Kanlaon is on the island of Negros.
Indi maayo ang maghambal sang mga bulgár nga tinaga.,It is not good to speak vulgar words.
Nahulog sia kag nagsakit ang iya bulí’.,He fell and his buttocks hurt.
Nagbulídbulíd akú sa bánglid.,I rolled down the hill.
Nagbakal si Tatay sang isa ka búlig nga saging.,Father bought one bunch of bananas.
May bulíng ang imo guya halin sa dapog.,There is soot on your face from the stove.
Nagbakal sila sang tela sa búltu para makabarato.,They bought fabric in bulk to get it cheaper.
Inom ka sang bulúng para mag-ayo ang imo ubo.,Take some medicine so your cough will get better.
Ginbúnak ku ang tu’álya.,I wet the towel.
I-bún’ag ang mga palay sa kalsada.,Dry the unhusked rice in the sun on the road.
Nakabaton sia sang bunál tungod sa iya kalisod.,He received a whip because of his naughtiness.
Bunáyag gid ang pag-atipan sang tagbalay sa amon.,The host's care for us was very gracious.
Búndul sia mag-obra gani wala sia natapos.,"He is slow at working, so he didn't finish."
Nag-preparar sia sang bunít para mangisda sa suba.,He prepared a fish hook to go fishing in the river.
I-búnlaw ang mga bayo sing maayo pagkatapos laba.,Rinse the clothes well after washing.
Ginbúntul akú sang idú’.,The dog attacked me ferociously.
Ginbunú’ si Roméo.,Romeo was stabbed.
Nag-untat kami sa paglakat tungod sa búnuk sang ulan.,We stopped walking because of the heavy downpour.
Gingamit ni Inday ang bunút sa paglampaso sang salog.,Inday used the coconut husk to scrub the floor.
Magatambong kami sa búnyag sang iya anak sa Dominggo.,We will attend the baptism of her child on Sunday.
Matam-is ang búnga sang mangga nga amon nakuha.,The fruit of the mango we got is sweet.
Wala sia sing may na-bungát sa iya kakulba.,He wasn't able to utter anything due to his nervousness.
Ginbúngkay nilá ang baláy.,They took the house apart.
Nagbúnggu’ ang duhá ka áwtu.,Two cars collided.
Tun-i ang kada búnghay sang inyo leksyon.,Study each part of your lesson.
Nagpahuway kami sa tiilan sang búngtud.,We rested at the foot of the slope.
Indi sia makabati kay sia ay bungúl.,He cannot hear because he is deaf.
Gin-pangan-an niya ang iya malaba nga búngut.,He trimmed his long beard.
Burará’ sia mag-gasto sang iya sweldo.,He is extravagant when spending his salary.
Nag-búrhut ang aso halin sa tambutso sang salakyan.,Smoke puffed out from the vehicle's exhaust.
Nagsakay kami sa bus pakadto sa Iloilo.,We rode a bus to Iloilo.
Nagbusá’ag ang pláto pagkahúlug.,The plate scattered into pieces when it fell.
Ma-bús’ak si Pedro sang kahoy para sa gatong.,Pedro will chop wood for fuel.
Butangi sang busál ang ido para indi makakagat.,Put a muzzle on the dog so it cannot bite.
Matahum ang busáy nga amon ginkadtuan sa bukid.,The waterfall we visited in the mountain is beautiful.
Kinahanglan sang babayi ang búsbus para makuha ang bata.,The woman needs a Caesarean operation to deliver the baby.
Nagbúskad ang búlak.,The flower opened into fullness.
Nagbúsdik ang lóbo.,The balloon burst.
Busisí’ sia katama sa pag-obra sang iya report.,He is very meticulous in working on his report.
Nabúslut ang súput.,The paper sack gave way.
Busúg na ako gani indi na ako magkaon.,"I am already full, so I won't eat anymore."
I-lubong ang búsul sang kapayas sa duta.,Bury the papaya seed in the soil.
Ibutang ang sulat sa sulod sang busún.,Put the letter inside the mailbox.
Ang iya asawa ay busúng sang duha ka bulan.,His wife is two months pregnant.
Nagbúswang ang íya uyapús.,Her boil burst.
Diin mo ginbutang ang mga butáng nga ginbakal ko?,Where did you put the things I bought?
Masakit ang akon bútkun tungod sa pagbuhat sang bug-at.,My arm hurts because of lifting heavy things.
Nagbúthu’ si Lourdes sa Maníla’.,Lourdes studied in Manila.
Ang butí isa ka delikado nga sakit sang una.,Smallpox was a dangerous disease before.
Nagbutí’ ang ma’ís.,The corn popped.
Indi maayo ang maghambal sang butíg.,It is not good to tell a lie.
Nagbútlak ang ádlaw.,The sun rose.
Nahulog ang butónes sang akon polo.,The button of my shirt fell off.
Butúd ang iya tiyan tungod sa kabusog.,His stomach is bloated because of fullness.
I-bútung mo ang pisi pakadto diri.,Pull the rope towards here.
Ginbútyag ku ang íya sekréto.,I told her secret.
Nasalapay ang akon bu’úl sa pirtahan.,My heel bumped against the door.
Ginbú’ung ku ang báso.,I broke the drinking glass.
Bú’ut gid ang amon bag-o nga maestra.,Our new teacher is very kind.
Sunura ang bu’út sang imo tagipusuon.,Follow the will of your heart.
Indi magbaton sang búya para sa imo pabor.,Do not accept a bribe for your favor.
Ginbuyáyag ku ang sekréto.,I desclosed the secret.
Buyánbuyań sia sa iya pagtuon gani naga-nubo ang iya grado.,"He is neglectful of his studies, so his grades are dropping."
Ginbuyáyaw ni María ang masábad nga mangá báta’.,Maria strongly scolded the noisy children.
Gusto ko mag-búylug sa inyo paglakat bwas.,I want to join you in your trip tomorrow.
Ginbúyuk ku ang sangá sang bayábas.,I bent the branch of the guava.
Ginkagat sia sang buyúg sa iya kamot.,A bumblebee bit him on his hand.
Nagbuyút akú sa kay Nánay.,I held onto Mother.
Ma-abot ang akon pamilya sa bwás nga aga.,My family will arrive tomorrow morning.
Malawig ang amon byáhe pakadto sa Manila.,Our journey to Manila was long.
Magakitaay kami sang akon mga abyan sa Byérnes.,I will meet my friends on Friday.
Matunog ang tunog sang byólin sa konsyerto.,The sound of the violin is loud in the concert.
Nagbwélta kamí sa estasyón.,We went back to the station.
Diin ka makadto subong?,Where are you going now?
May ára’ ánum ka síya sa kwárto.,There are four chairs in the room.
Kasulát na akú.,I have written already.
Makabibíhag ang íya kagwápa.,Her beauty is captivating.
Katahúm sa ímu!,How beautiful you are!
,
Nag’ísip síla hásta sa kapituhán.,They counted to seventy.
Ginsunúd nilá ang kasugtánan.,They followed the agreement.
Indi maayo ang maghimo sang ka’áway.,It is not good to make an enemy.
Ang kabalyéro nagaluwas sa mga tawo.,The knight rescues the people.
Puno ang kabán sang humay sa bodega.,The chest is full of rice in the warehouse.
Nagahampang ang mga kabatá’an sa gwa sang balay.,The children are playing outside the house.
Kabáy pa nga ma’áyu ang ímu byáhe.,I hope you have a pleasant trip.
Madasig magdalagan ang kabáyu’ sa karera.,The horse runs fast in the race.
Nagpungko ang amay sa kabeséra.,The father sat at the head of the table.
Ginkábig námun sya nga amáy.,We treated him like a father.
May kabít ang bana sang iya amiga.,Her friend's husband has a mistress.
Ang kábu ang nagadumala sa mga mamumugon.,The foreman manages the workers.
Gamita ang kabú’ sa pagbubo sang tubig.,Use the dipper to pour the water.
Madamo sing kabúg sa sulod sang kueba.,There are many bats inside the cave.
Matam-is ang nakuha namon nga kabúgaw.,The grapefruit we got is sweet.
Kabús ang iya kwarta para baklon ang libro.,His money is not enough to buy the book.
Nagkakás akú sang pínta sa díngding.,I removed the paint from the wall.
Kakí ang duag sang iya ginbakal nga pantalon.,The color of the pants he bought is brown.
Káda adlaw nagapangamuyo kami sang pamilya.,Every day we pray with the family.
Gusto sang mga bata mag-kádaw sa suba.,The children want to wade in the river.
Gin-gapos sang kádena ang pirtahan sang bodega.,The warehouse door was bound with a chain.
Nabatian namon ang mabaskog nga kádlaw sa pihak.,We heard the loud laughter from the other side.
Ma-kádtu kami sa simbahan karon sa hapon.,We will go to church this afternoon.
Mainum si Lolo sang mainit nga kafé.,Grandpa will drink hot coffee.
Gusto ko sang tinapay kág gatas.,I want bread and milk.
Nakita namon ang daku nga bulan kagáb’i.,We saw the big moon last night.
Ginkagát si Victór sang idú’.,Victor was bitten by a dog.
Manghinaw ka para mapatay ang mga kágaw.,Wash your hands to kill the germs.
Nag-abot sia diri kag’ína lang.,He arrived here just a while ago.
May kagúla’ sa plaza tungod sa parade.,There is excitement at the plaza due to the parade.
Madamo sing mga pispis sa sulod sang kagulángan.,There are many birds inside the forest.
Nagkagús akú sang bulíng sa kaláha’.,I scraped off soot from the bottom of the pan.
Ginbutang niya ang iya mga alahas sa káha.,She put her jewelry in the safe.
Wala sia nakaeskwela kahápun tungod sa hilanat.,He was not able to go to school yesterday due to fever.
Káhas gid ang iya ginhimo sa iya kaaway.,What he did to his enemy was very violent.
Nagbayad ako sang kwarta sa kahéro.,I paid the money to the cashier.
I-káhig ang mga kaging nga dahon sa hardin.,Rake the dry leaves in the garden.
Hatagi ako sang kahigayúnan nga mapaathag ang tanan.,Give me a chance to explain everything.
Namit kaunon ang kahíl kon ini hinog na.,The nectarine is delicious to eat when it is ripe.
Maayo ang amon kahimtángan diri sa probinsya.,Our situation here in the province is good.
Ano ang kahulugán sang sining tinaga?,What is the meaning of this word?
Ibutang ang mga bisti sa sulod sang kahún.,Put the clothes inside the box.
Mataas ang káhuy nga ara sa tunga sang uma.,The tree in the middle of the farm is tall.
Nakaon na kami sang amon panyapon ka’ína.,We already ate our dinner earlier.
Ang mga mangunguma nag-obra sang ka’íngin sa bukid.,The farmers did land clearing in the mountain.
Kalabánan sa mga tawo diri mga mangunguma.,"Mostly, the people here are farmers."
Ang kalabása maayo para sa mata.,Squash is good for the eyes.
Nakita namon ang kalabéra sang sapat sa dalan.,We saw the skeleton of an animal on the road.
Nagapati ang mga tawo sa mga kalág.,People believe in ghosts.
Gamita ang kaláha’ sa pagprito sang isda.,Use the frying pan for frying the fish.
Kalám gid ang akon lawas kon ako masiit.,My body is very sensitive to tickling.
Mag-obra ka sang juice halin sa kalamánsi’.,Make some juice from the calamansi.
Butangi sang kalámay ang akon kape.,Put some sugar in my coffee.
Ginkalámbre akú kagáb’i.,I had a chill last night.
Kinahanglan naton mag-preparar para sa mga kalamidád.,We need to prepare for calamities.
May ára’ gid pírme nga katalágman.,Danger is always there.
Nagaluto si Nanay sa kalán nga de-uling.,Mother is cooking on a charcoal stove.
Nagkálas ang mangá dáhun.,The leaves rustled.
Gingamit niya ang kalaykáy sa paglimpyo sang gwa.,He used the rake to clean the outside.
Gin-kálkal nila ang mga tul-an sa niche.,They dug out the bones from the niche.
Punuon mo sing tubig ang kaldéro.,Fill the kettle with water.
Tan-awa ang petsa sa kalendáryo.,Look at the date on the calendar.
Nagsakay kami sa kalésa palibot sa banwa.,We rode a carriage around the town.
Ginkáli ku ang kamúti.,I dug up some sweet potatoes.
Daku gid ang sining kalibútan nga aton ginapuy-an.,This world we live in is very large.
Maitum ang iya kalimutáw.,His eyeball is black.
Ginkalís sang tindéra ang bugás sa gantángan.,The salesgirl skimmed the rice in the container.
Nagkalít si Manuél nga mamásyar kay walá’ pa trabáho.,"Manuel took a stroll, meanwhile he had no work to do."
,
Kahulúya’ sang natabú’.,What happened was really a shame.
Ginkálut ku ang ákun úlu.,I scratched my head.
Mangayo kita sang kalú’uy sa Ginuo.,Let's ask for mercy from the Lord.
Malapad ang kálye nga naga-agi sa amon balay.,The street passing by our house is wide.
Mahumok ang káma sa sulod sang kwarto.,The bed inside the room is soft.
Ginbutang nila ang humay sa sulod sang kamálig.,They put the rice inside the barn.
Namit kaunon ang kamánsi kon luto na.,Breadfruit is delicious to eat when it is cooked.
Ang bata nag-umpisa na kámang sa salog.,The baby has started to crawl on the floor.
Napanimshuan namon ang humot sang kamángyan.,We smelled the fragrance of the incense.
Malimpyo ang amon kamaróte sa sulod sang barko.,Our cabin inside the ship is clean.
Malaba ang kamásun sang kuring.,The cat's claw is long.
Ang kamatáyan ay indi malikawan sang tanan.,Death cannot be avoided by anyone.
Nagbakal ako sang pula nga kamátis sa merkado.,I bought red tomatoes at the market.
Kámbang ang duag sang amon ido.,Our dog's color is spotted.
Ma-kámbyu kami sang amon mga bayo.,We will exchange our clothes.
Ma-abot kamí sa inyo balay sa bwas.,We (not including you) will arrive at your house tomorrow.
Nagsuksok sia sang bag-o nga kamisadéntro.,He wore a new men's shirt.
Puti ang kamiséta nga ginsuksok ni Pedro.,The undershirt Pedro wore is white.
Kinahanglan ni Nanay sang bag-o nga kamisún.,Mother needs a new slip.
Ginkamlut ku ang isda.,I touched the fish.
Matas ang kampanáryu sang simbahan.,The church belfry is tall.
Nag-umpisa na ang kampánya para sa eleksyon.,The campaign for the election has started.
Nagkámpi ang América sa South Vietnám.,
Nagpabilin ang mga militar sa sulod sang kámpo.,The military stayed inside the camp.
Sia ang nagdaog nga kampyón sa boksing.,He won as the champion in boxing.
Ma-abot na kamú diri sa amon?,Will you (all) arrive here to us soon?
Gin-pangan-an niya ang iya kamumú’u.,She trimmed her finger nails.
Kamústa na kamo sang inyo pamilya?,How are you and your family?
I-taas ang inyo mga kamút kon may pamangkot kamo.,Raise your hands if you have questions.
kamútingkáhuy n cassava.,
Kinahanglan limpyohan ang kanál para indi magbaha.,The canal needs to be cleaned so it won't flood.
Nagkánay na ang hángin.,The winds abated already.
May daku nga kandádu ang pirtahan sang bodega.,The warehouse door has a big padlock.
Naglakát sya sa kánday Cármen kag Jóse.,He walked towards Carmen and Jose.
,
Sin-o ang imo pilion nga kandidáto?,Who is the candidate you will choose?
Nagdagta kami sang kandíla’ sa sulod sang simbahan.,We lit a candle inside the church.
Ang kánding nagakaon sang hilamon sa uma.,The goat is eating grass on the farm.
Nagkándus akú sang adóbo sa kaldéro.,I scooped out some adobo from the pot.
Manami ang kánta nga gin-amba niya.,The song he sang was nice.
Ang kantéro ang naga-obra sang amon kudal.,The mason is building our fence.
Daku ang kantidád sang kwarta nga nadula sa iya.,The amount of money he lost was large.
Magkitaay kita sa kánto sang sining kalsada.,Let's meet at the street corner of this road.
Nakakita kami sang mga kanú’ sa mall.,We saw some Americans at the mall.
Pila ka plato sang kán’un ang imo makaon?,How many plates of cooked rice can you eat?
Nakita namon ang daan nga kányon sa fort.,We saw the old cannon at the fort.
Nagkapákapá silá pag’abút sang Presidénte.,They were excitedly confused when the President arrived.
Ang kapatás ang nagasugo sa mga obra.,The foreman is the one giving orders to the workers.
Matam-is ang hinog nga kapáyas.,The ripe papaya is sweet.
Nangápkap akú sa dulúm.,I gnoped my way in the dark.
Kápid ang iya mga anak nga lalaki.,Her sons are twins.
Nagpangamuyo kami sa sulod sang kapílya.,We prayed inside the chapel.
Kapín sa isa ka gatos ang mga bisita.,There were more than one hundred guests.
Kinahanglan naton sang daku nga kapitál para sa negosyo.,We need a large capital for the business.
Ang kapitán sang barangay nagpatawag sang miting.,The barangay captain called for a meeting.
Nagkaon kami sang panyaga sa kapitérya.,We ate lunch in the cafeteria.
Matahum ang building sang kapitólyo sa siudad.,The capitol building in the city is beautiful.
Ano nga kapituló na kita sa aton libro?,What chapter are we on in our book?
Madamo sia sing mga kaprítsu sa iya lawas.,He has many vices in his body.
I-kapún nila ang baka bwas.,They will castrate the cow tomorrow.
Ano ang kapuslánan sang sining gamit?,What is the usefulness of this item?
Nagkapút akú sang kutsílyo.,I clutched a knife.
Nagsuksok sia sang kapúti kay nagaulan.,He wore a raincoat because it was raining.
Nabatyagan ko ang kápuy pagkatapos sang obra.,I felt tiredness after work.
Nagkápyut akú sa sangá.,I held onto the branch.
Nagkarábkab ang kaláyu.,The fire burst into flame.
Ang kárbaw nagabulig sa pag-arado sang uma.,The water buffalo helps in plowing the farm.
Sin-o ang nagdaog sa karéra sang salakyan?,Who won the car race?
Bug-at ang kárga sang truck.,The cargo of the truck is heavy.
Nagkarí ikáw kahápun.,You came here yesterday.
Naghatag sila sang karidád sa mga pobre.,They gave charity to the poor.
Nagsakay kami sa karitéla pakadto sa merkado.,We rode the horse and buggy to the market.
Gingamit niya ang karitún sa pagbaligya sang isda.,He used the cart to sell fish.
Nagbakal si Nanay sang kárne sang baboy.,Mother bought some pork meat.
Madamo sing mga karnéro sa uma sang New Zealand.,There are many sheep on the farms of New Zealand.
Maayo ang karpentéro nga nag-obra sang amon balay.,The carpenter who built our house is good.
Malapad na ang karsáda pakadto sa bukid.,The road going to the mountain is already wide.
Ang kartéro naghatag sang sulat sa amon.,The mailman gave the letter to us.
I-sulod ang mga gamit sa kárton.,Put the things in the carton.
Ma-abot ako sa inyo balay karún sa hapon.,I will arrive at your house later this afternoon.
Ginkarús akú sang kuríng.,The cat scratched me.
Karúskarús ang iya agi gani indi ko mabasa.,His handwriting is non-legible because it was written hurriedly.
Nabatyagan niya ang daku nga kasákit sa iya dughan.,He felt great suffering in his chest.
Malipayon ang selebrasyon sang kasál.,The wedding celebration was happy.
Didto kami sa plaza kasán’u lang.,We were at the plaza just a while ago.
Kanami sang mga kasangkápan sa sulod sang inyo balay.,The furniture inside your house is nice.
May bag-o kami nga kaséra sa amon balay.,We have a new boarder at our house.
I-sulod ang sabaw sa kaseróla.,Put the soup in the cooking pot.
Maayo ang amon pakig-upod sa amon mga kasilíngan.,Our relationship with our neighbors is good.
Malimpyo ang kasílyas sa sining mall.,The toilet in this mall is clean.
Nakita ko ang akon kasimánwa sa Manila.,I saw my townmate in Manila.
May káso sia sa korte parte sa duta.,He has a legal case in court regarding the land.
Kasualidád gid nga matabo ina sa subong.,That is truly impossible to happen right now.
Malaba ang kasúdlan sang sapat nga amon gin-ihaw.,The intestines of the animal we slaughtered are long.
Nagpirma kami sang kasugtánan sa amon obra.,We signed an agreement for our work.
Sunura ang mga kasugu’án sang aton gobyerno.,Follow the orders of our government.
Indi kamo mag-katá’katá’ parte sa inyo isig-katawo.,Do not gossip about your fellow human beings.
Mag-andam kamo sa mga katalágman sa dalan.,Be careful of the dangers on the road.
Katalanghága’ ang iya pag-ayo sa balatian.,His recovery from the illness was unbelievable.
Isa ako ka katápu’ sang sining grupo.,I am a member of this group.
May katáru sia gani wala sia nakaeskwela.,"He has a cold, so he wasn't able to go to school."
Nagapati ka bala sa mga katáw?,Do you believe in mermaids?
Katolikó ang amon relihiyon sa pamilya.,Our family's religion is Catholic.
Katórse ka tuig na ang akon anak.,My child is already fourteen years old.
