en	hil
But is it possible that travelers could be hit by meteors?	Apang posible bala nga ang mga manuglakbay mahimo maigo sang mga handumanan sang mga taga - Canada?
It's once in blue moon.	Yara ini anay sa asul nga bulan.
What do you think is the real danger man faced in space?	Ano sa banta mo ang matuod nga katalagman nga ginaatubang sang tawo sa kahawaan?
The main one is radiation. There are two sorts of radiation man must fear in space. The first is radiation from the sun, and this is particularly dangerous when the sun is very active and explosions are occurring on its surface. The second, less harmful, comes from the so-called Van Allen Belts.	Ang panguna nga kabangdanan sini amo ang radiasyon, kag makatalagam gid ini kon ang adlaw tuman ka aktibo kag may paglupok sa kahawaan.
Hi, Mark, did you catch the game last night?	Hi, Mark, nadakop mo bala ang hampang sang nagligad nga gab - i?
No, I was out. Was it worth watching?	Indi, wala na ako sing mahimo kay maayo gid ang akon pagtan - aw?
You didn ’ t hear? Spain won, two to zero.	Nabatian mo bala ang tyur t, Espanya, duha tubtob sero.
Oh, really? So, Spain is through to the next round?	Gani, amo gid bala sini ang nagakatabo sa Espanya?
Yeah. The final is next week. You have to watch it.	Huo, dapat mo ini bantayan sa masunod nga semana.
Get up as early as six o'clock only to be jammed at every crossroad and still late for work. What a life! I've had enough of it.	Mga alas seis pa lang ako nga aga, bangon na ako sa tanan nga bahin sang dalan kag ulihi na lang sa trabaho.
Cool down, man. Everyone is fed up with the rush-hour traffic. But life isn't really all that. You should take the initiative and make some changes first.	Ang tanan nga tawo natak - an na sa madasig nga trapiko, pero indi lang amo sina ang kabuhi, kundi dapat mo anay himuon ang pila ka pagbag - o.
What should I do then?	Ano nian ang dapat ko himuon?
I recommend you ride a bike instead of commuting by bus. It may offer you many benefits. First, it's good for your health. I'm afraid it's not necessary for me to further elaborate. While lots of people spend time like an hour each morning exercising, a bike ride to work not only builds you up, but also makes full use of time. You might as well sleep out for a longer hour.	Mahimo nga madamo ka sing mabulig kay basi indi ka lang magsakay sa bus kay madamo nga tawo ang nagahinguyang sing tion pareho sang isa ka oras kada aga, kag indi lang ako dapat mag - obra, kundi kinahanglan mo man nga mag - obra sing malawig nga oras.
I know cycling is always a more favorable choice than a bus. After all, it's a sport. But do you think it a pleasant experience to take in the dirty, polled air on the road?	Kay man, mas maayo kon pilion ko pirme ang bisikleta sangsa bus, pero sa banta mo, makalilipay bala nga mag - agi sa mahigko kag na - check up nga hangin?
Well, such things are just unavoidable in a great metropolis like Beijing. I think a still more desirable benefit is psychological. Bicycling home after work can help release your stress. Life in the offices is miserable. You just sit there in a daze, gazing at the monitor and dealing with files and documents. Why don't you give a full play to your energy after work? Enjoy the speed on the road. Just think, you are flashing past the poles with your own energy. How great!	Ti, ina nga mga butang indi malikawan sa isa ka daku nga siudad kaangay sang Bo zriz.
Five. Besides my parents and me, there are my brother and sister.	Luwas sa amon sang akon mga ginikanan, yara man ang akon utod nga lalaki kag babayi.
That ’ s a big family. How old is your brother?	Daw ano ka tigulang ang imo utod?
What about your sister?	Kamusta naman ang imo utod nga babayi?
She ’ s not quite twenty-five.	Wala sia mag - duha ka pulo ka pilo.
Do you miss your family?	Nahidlaw ka bala sa imo pamilya?
Do you often go home?	Pirme ka bala nagapauli?
No. But I often send e-mail to them. And make a call to my parents regularly.	Pirme ko sila ginatawgan, kag ginaduaw ko man pirme ang akon mga ginikanan.
How often do you call to them?	Daw ano kasunson mo sila ginaduaw?
Once a week.	Makaisa kada semana.
I'm terribly nervous.	Ginakulbaan gid ako.
What's wrong? You don't like ancient Egypt?	Indi mo bala gusto ang Egipto?
Actually, I don't like history. Lately, these shows are always about the Pyramids.	Sa pagkamatuod, indi ko luyag ang maragtas kay sa ulihi, ini nga mga palaguwaon pirme lang tuhoy sa mga kal - ang.
The Pyramids are amazing! Millions of gigantic stones... each one perfect...	Minilyon ka dalagku nga bato... ang tagsa himpit...
And nobody knows who built them, right? It's a total mystery!	Kag wala sing nakahibalo kon sin - o ang naghimo sini, sa tuo, isa gid ini ka misteryo!
You sound like the TV! You're not going to tell me that aliens built the Pyramids, are you?	Indi mo bala pag - isugid sa akon nga ang mga dumuluong amo ang nagtukod sang mga indulto?
What's the problem, Nada? You look down in the dumps.	Ano ang problema, si Nada, nga ginatan - aw mo sa basurahan.
I don't know. My life is a big mess. Everything is so complicated.	Wala ako makahibalo nga ang akon kabuhi isa ka daku nga problema kay ang tanan tuman kasibod.
Come on, nothing can be that bad.	Indi gid ini matabo.
But promise me, you'll keep it a secret.	Apang saad ako, taguon mo ini.
Ok, I promise. So what's troubling you so much?	Gani ano gid bala ang nagatublag sa imo?
I've fallen in love with my boss.	Nanamian gid ako sa akon amo.
Really? Is he married?	May asawa gid bala sia?
Bo, of course not. He is still single.	Siempre, indi pa sia minyo.
Then what's your problem?	Nian ano ang imo problema?
I try to keep it to myself. But there is a lot of gossip about us.	Ginatinguhaan ko nga taguon ini sa akon kaugalingon, apang madamo ako sing kutsokutso.
Oh, I see. Office romance tends to be the subject of gossip.	Ti, nakita ko nga ang romantiko nga relasyon sa mga katapo sang pamilya amo ang tema sang kutsokutso.
Worse still, he is trying to avoid me these days.	Ang malain pa, ginatinguhaan niya nga likawan ako karon nga mga adlaw.
Office romance is very tricky.	Ang romantiko nga relasyon sa mga katapo sang ospital indi gid maayo.
It gives me a lot of pressure and I feel depressed.	Nabudlayan gid ako kag nasubuan.
Cheer up, Nada. You'll be fine.	Mang - ilog ka na sa iya.
I also need to check these books out.	Dapat ko man usisaon ini nga mga libro.
That ’ s everything.	Inang pag - usisa nagadalahig sang tanan nga butang.
I need your library card.	Kinahanglan ko ang inyo kard sa librarya.
I have it. Here you go.	Yari karon, yari karon, lakat ka.
Do you need anything else?	May kinahanglan ka bala?
Your books are due back two weeks from today.	Ang imo mga libro ginsulat duha ka semana kutob karon.
Thank you. Good night.	Salamat gid.
Did you happen to bring that book that we were talking about yesterday?	Natabo bala nga gindala mo yadto nga libro nga ginahambalan namon sang nagligad nga mga adlaw?
I did. Let me go get it for you. Here you go.	Ako na lang ang makadto diri.
Thanks so much.	Madamo gid nga salamat.
I like the way that the gifts I get increasingly more lavish.	Nanamian ako sa akon mga regalo.
I had no idea that there were specific things that should be given on different anniversaries.	Wala ako sing ideya nga may espesipiko nga mga butang nga dapat ihatag sa lainlain nga mga anibersaryo.
So what does it say you should give your wife this first anniversary?	Gani ano ang ginasiling sini nga dapat mo ihatag sa imo asawa ining nahauna nga anibersaryo?
It says that traditionally, give something made of paper.	Nagasiling ini nga sa kinaandan, maghatag sing butang nga human sa papel.
I can think of two things made of paper — stationery and money.	May madumduman ako nga duha ka butang nga human sa papel nga chrony kag kuarta.
I'm going to the park to play baseball with the guys.	Nagakadto ako sa parke agod maghampang sing base ball upod sa mga lalaki.
But you promised to play chess with me this afternoon.	Apang nagsaad ka nga maghampang ka sing mga lina - ay upod sa akon karon nga hapon.
Yeah, but that was before the guys ask me to join the team.	Si Yeah, apang ginpangabay ako sang mga lalaki nga magbuylog sa team.
You know how much I want to be on the team, and now there is an opening for me.If I don't go to practise today.They ' ll get someone else and I'll miss my chance.	Nahibaluan mo kon daw ano kadamo ang luyag ko nga mangin kaupod ko, kag karon may bukas nga kahigayunan para sa akon.
I don't care about baseball.You know I need to practice for the chess championship and you promised to help with me if I washed the dishes for you last Sunday, and I did.	Nahibaluan mo nga dapat ko himuon ang mga lina kag nangako ka nga buligan ako kon hinawan ko ang mga pinggan para sa imo sang nagligad nga Domingo, kag ginhimo ko ini.
I know, and I will.	Nahibaluan ko, kag himuon ko ini.
After baseball practice.	Pagkatapos sang paghanas sa base ball.
And then, it'll be dinner time, then homework, and then your Show is on.You are going to break your promise.	Nian, tion na sa pagkaon, dayon ang homework, kag dayon ang imo show amo na ang katapusan.
No, I won't. I'm going to skip TV tonight and work on your chess game with you if that's ok with you.	Indi, indi ko gid gusto nga mag - entra sa TV kon gab - i kag mag - obra sa imo mga drama kon indi mo ini pag - i - upod.
Well, I'd rather do it the way we set up.But if you promise to give me your best game, it's ok with me.	Ti, mas gusto ko nga himuon ini sa amon paagi sa pagtukod, apang kon magsaad ka nga hatagan mo ako sang imo pinakamaayo nga hampang, indi ako pag - i - i - i.
No problem, I'll play as hard as I can and give you an extra game to say thanks.	Wala sing problema, magahampang ako sing lakas tubtob sa masarangan ko kag hatagan ikaw sing dugang pa nga hampang agod magpasalamat.
What stresses you out the most?	Ano gid ang ginapadaku sa imo?
Probably my parents.	Ayhan ang akon mga ginikanan.
Well, during school, they wanted good grades. Then after I got a job, they wanted me to get a better job. And finally, they want me to get married.	Sang nagaeskwela pa ako, gusto nila nga may mataas na ako nga grado, dayon pagkatapos ako makatrabaho, gusto nila nga makakita ako sing mas maayo nga obra.
You have to deal with a lot of pressure from your parents.	Dapat mo atubangon ang madamo nga pag - ipit gikan sa imo mga ginikanan.
Your parents are not like that?	Indi bala amo sina ang imo mga ginikanan?
Ever since I brought home some bad grades in elementary school, they never expected much.	Sugod sang may manubo ako nga grado sa elementarya, wala gid sila magpaabot sing daku.
You're lucky.	Nagalalain ka.
What do you do to deal with the stress?	Ano ang himuon mo para maatubang ang stress?
Not much I can do. It's always there. I sometimes go out with some friends and drink, but that's only a temporary solution. The stress always returns in the morning.	Kon kaisa, nagakadto ako sa pila ko ka abyan kag nagainom, pero temporaryo lang ini nga solusyon.
That sucks. You wanna go grab a beer?	Ikaw nga wanna nagainom sing serbesa?
Sure. Sounds great. Let's go.	Huo, may daku gid nga tunog.
Tony looks very handsome in the suit.	Tuman katahom tulukon ni Tony.
He prefers suits to jackets.	Mas gusto niya nga mag - ilis sing mga jacket.
Judge from his look, he's a very serious person.	Bangod sang iya hitsura, tuman sia ka serioso.
As a matter of fact, he is.	Sa katunayan, amo sia.
Lily thinks that the job takes a back seat to the family after she is married.	Nagdumdom si Lily nga ang trabaho nagahinguyang sing likod nga pulungkuan sa pamilya pagkatapos sia makasal.
She must be a good wife.	Dapat sia mangin maayo nga asawa.
Not necessarily. This is only what she says, not what she does.	Indi gid man, kundi amo sini ang iya ginasiling, indi ang iya ginahimo.
What's the weather like?	Ano ang tiempo?
I don't know. I just woke up.	Wala ako makahibalo nga nagabugtaw na lang ako.
Why don't you look outside?	Ngaa wala ka nagatan - aw sa guwa?
Okay. It looks like rain.	Daw ulan ini tan - awon.
The sky is gray.	Ang langit abuabuhon.
Is it raining right now?	Nagaulan bala ini karon mismo?
How do you know?	Paano mo nahibaluan?
The street isn't wet.	Indi kami ang mga tawo sa kalye.
I have to go shopping today.	Dapat ako karon magbakal.
You'd better take an umbrella.	Mas maayo nga magkuha ka sing isa ka pagtuo.
Hey there, you look a little lost. Are you new here?	Daw wala ka na sing nakita, pero bag - o ka man bala diri?
Yeah how ’ d you know?	Daw ano ka gamay ang imo nahibaluan?
You can always spot the newbies. I can give you a few pointers if you want. Were you trying to use this machine here?	Puede mo man bala ini isugid sa imo kon gusto mo.
Yeah! I just started my training today and I ’ m not really sure where to begin.	Bag - o ko lang ginhanas si Yeah kag ako si Ekacniz m indi sigurado kon diin ako dapat magsugod.
It’s ok, I know how it is. This machine here will work out your upper body, mainly your triceps and biceps. Are you looking to develop strength or muscle tone and definition?	Ini nga makina magamadinalag - on sa imo naibabaw nga lawas, ilabi na ang imo triceps kag biceps.
Well, I don ’ t want to be ripped like you! I just want a good physique with weights and Carpio.	Ti, indi ko luyag nga kusniton kaangay mo ang akon mga ginikanan, kundi luyag ko lang nga may maayo nga mga tuwang nga may mga kabug - aton kag Carpio.
In that case you want to work with less weight. You can start off by working ten to fifteen reps in four sets. Five kilo weights should be enough. Now It’s very important that you stretch before pumping iron or you might pull a muscle.	Kon indi ka tanto kabug - at, mahimo ka magsugod sa pagtrabaho sing napulo tubtob lima ka beses sa apat ka set.
Got it! Wow is that the weight you are lifting? My goodness that ’ s a lot of weight!	Ang pinakaimportante amo nga ang kabug - aton nga imo ginapataas amo ang akon kaayo nga nagabug - at!
It’s not that much. Just watch... I ’ m ok...	Wala gid ini nagakahulugan nga magtan - aw lang ako... sing ROV mok...
I don't know how John can put up with his son, who fools around without working.	Indi ko mahibaluan kon paano malandas ni John ang iya anak, nga buangbuang sa palibot nga wala sing trabaho.
He's out of John's hands. Nothing he can do about such a black sheep.	Wala sia sing mahimo sa sining itom nga karnero.
If I were him, I would give him a good talking-to. I would insist on his stopping fooling around like that.	Kon ako ang iya bana, ginahatagan ko sia sing maayo nga pag - istoryahanay.
Do you like ice skating?	Nanamian ka bala sa ice thriter?
I have never tried it.	Wala ko gid ini matilawan.
Then you've got to try it. Let's go to the skating rink on Thursday.	Dayon, kadtuan mo na lang ini kag magkadto sa quadro sang Huebes.
Sorry, I don't think I can.	Daw indi ako makapati.
Friday then. How about it?	Biernes, kamusta naman?
Friday is great.	Ang Biernes daku.
It's settled then.	Nian, nag - ayo ini.
Gordon, you're ever so late.	Si Gordon, ulihi na gid man.
Yes, I am sorry. I missed the bus.	Ginakasubo ko gid nga wala ako makatambong sa bus.
But there's a bus every ten minutes, and you are over 1 hour late.	Apang may bus kada napulo ka minuto, kag kapin sa 1 ka oras ang imo naulihi.
Well, I missed several buses.	Ti, pila ka bus ang wala ko matigayon.
How on earth can you miss several buses?	Paano mo mawasi ang pila ka bus sa duta?
I, ah..., I got have late.	Ako, nga ah..., naulihi na.
Oh, come on, Gordon, it's the afternoon now. Why were you late really?	Ti, ngaa ulihi ka na?
Well, I... I lost my wallet, and I...	Ti,... nadula ko ang akon kahita, kag ako...
Have you got it now?	Natigayon mo na bala ini karon?
Yes, I found it again.	Huo, nakita ko ini liwat.
This morning. I mean...	Sa sini nga aga, buot ko silingon...
I am not convinced by your explanation.	Wala ako makumbinsi sa inyo paathag.
Let's have seafood tonight and then go see the new movie at Mall Cinema.Betsy told me it's a beautiful love story and I shouldn't miss it.	Tan - awon naton ang bag - o nga pelikula sa Mall Cinema kag sugiran ako niBissy nga isa ini ka matahom nga sugilanon sang gugma kag indi ko ini dapat mawasi.
Oh, Goodness, please not again.That ' s what we did last week.	Indi na subong sang nagligad nga semana, ang pagkaayo, kundi ang amon ginhimo.
No, we didn't. Last week we went to see that movie about a man's struggle against mental illness.	Wala, wala namon ini ginhimo sang nagligad nga semana, kag nakita namon ang pelikula parte sa pagpakigbato sang isa ka tawo sa balatian sa hunahuna.
Right, it was a chick flick, just like this one, so what's the difference? Besides, this is the last week for the third movie in Destroyer series and I want to see that on a big screen. Action movies need to be seen in a theater on a big screen.	Sa pagkamatuod, isa yadto ka piso nga ngunologo, kaangay sini, gani ano ang kinatuhayan?, amo ini ang katapusan nga semana para sa ikatlo nga sine sa mga serye sang epler kag luyag ko makita nga sa isa ka daku nga pelikula sa telebisyon.
Oh, yeah, and I did promise to see it with you if we went to that movie last week.But you liked that movie, didn't you?	Oh, Ohah, kag nangako ako nga makigkita sa imo kon magkadto kami sa sina nga pelikula sang nagligad nga semana.
Oh, sure, it was great. I had popcorn for dinner and paid the price of a movie ticket to get a two-hour nap.	Maayo gid kay may yara ako sing pop nga tang para sa panihapon kag ginbayaran ang bili sang tiket sa pelikula agod makatulog sing duha ka beses.
It wasn't that bad, and you're the one that insisted on skipping dinner.We went to an excellent restaurant.	Indi gid man malain, kag ikaw ang nag - insister nga indi na magkaon.
That place doesn't have a single meat dish.Just fish and shellfish and you know I don't like fish that much.	Indi lang isda kag pakinhason ang puede kaunon kag wala gid ako sing isda.
And I don't like meat that much.The only meat I eat is chicken.	Kag indi ko luyag ang karne nga karne nga akon ginakaon amo lamang ang manok.
But when I pick the restaurant, we go to a place that has both chicken and fish. I always respect your food preferences.	Pero kon pilion ko ang restawran, nagakadto kami sa lugar nga may manok kag isda, ginatahod ko pirme ang imo ginakaon.
Well, I suppose that, to be fair, you should get to pick the movie and we can go to a restaurant that serves meat.	Ti, sa banta ko, agod mangin makatarunganon, dapat mo pilion ang sine kag makakadto kita sa restawran nga nagabaligya sing karne.
Now you're talking, we can see that love story next time.	Karon nagahambal ka na, makita naton nga ang sugilanon sang gugma sa masunod nga tion.
How's your new job going?	Kamusta ang imo bag - o nga trabaho?
Really well, thanks.	Maayo gid, salamat.
How are you finding your new boss?	Paano mo makita ang imo bag - o nga boss?
She's not bad. She's a bit bossy, but I'm sure I'll get used to her.	Indi sia malain, pero sigurado ako nga maanad ako sa iya.
Would you rather have her or your old boss back?	Luyag mo bala nga ibalik sia ukon ang imo daan nga boss?
She's far better than my old boss. He didn't know how to express his opinion without putting at least one other person down.	Indi sia kahibalo maghambal sang iya opinyon nga wala ginapaslaw sang iban.
How about your new co-workers?	Kamusta naman ang imo bag - o nga kaupod nga mga trabahador?
They are all pretty easy-going. It's a very friendly place to work.	Mahapos lang ini kay mainabyanon gid ini nga lugar.
Do you miss your old co-workers?	Nahidlaw ka bala sa imo mga kaupod sa trabaho?
Of course. I spent so much time at my old workplace that I got to know them all very well. They were like family to me.	Siempre, pirme ako nagatrabaho sa akon daan nga ulubrahan amo nga nakilala ko gid sila kay daw pamilya ko sila.
Do people in different departments get along with each other?	Nagabinuligay bala ang mga tawo sa lainlain nga departamento?
Sure. Since we work together in teams, we have to get along with each other.	Bangod magkaupod kami nga nagabuligay, kinahanglan nga magbuligay kami.
Do you like working in teams with people from different departments?	Luyag mo bala magpangabudlay upod sa mga tawo gikan sa lainlain nga departamento?
Yes, it helps everyone to understand what we're doing from different perspectives.	Huo, nagabulig ini sa tanan nga mahangpan kon ano ang aton ginahimo gikan sa tuhay nga pagtamod.
Do you like working in teams?	Luyag mo bala magtrabaho sa grupo?
I prefer it to working independently. I think most people do.	Mas gusto ko nga mag - isahanon sangsa iban.
Linda, John and I are going to get married next week.	Linda, kami ni John magpakasal sa masunod nga semana.
That's wonderful. Congratulations.	Dalayawon gid ina.
Thank you, Linda. We would love you to come to our wedding.	Salamat gid kay palangga ka namon magtambong sa amon kasal.
I'd love to. What date is it?	Ano ang petsa?
It's May 1st.	Mayo 1st.
What day is that?	Ano ina nga adlaw?
It's Saturday. Could you make the time?	Makahinguyang ka bala sing tion kon Sabado?
Yes, sure. What time will the wedding begin?	Huo, ano nga tion ang magasugod sa kasal?
At nine sharp.	Sa siam ka matalom.
Very good! I'm looking forward to it. Please give my best regards to John. And I wish you best luck!	Nalipay gid ako kay gusto ko gid nga mangin maayo ang akon kaangtanan kay John, kag gusto ko nga mangin maayo ka nga swee!
So do you think you can get to the office alone?	Gani sa banta mo makakadto ka bala sa opisina sing isahanon?
Sure, I ’ ll catch the train. If I can ’ t catch the train, I ’ ll get a taxi.	Kon ma - drive ako sa tren, ma - drive ako sa tren.
Do you think the taxi driver will understand you?	Sa banta mo, mahangpan ka bala sang drayber sang taxi?
If he doesn ’ t understand me, I ’ ll show him the office address on my business card.	Kon mahangpan niya ako sing tnon tnon tt, ipakita ko sa iya ang direksion sang opisina sa akon credit card.
Ok but how will we know if you are going to be late?	Oko apang paano naton mahibaluan kon bala magagab - i ka na?
I ’ ll call you if I ’ m delayed.	Gintawgan ko ikaw sing LAV kon mapalantang ako.
You and Bob have finished?	Ikaw kag si Bob natapos na?
Are you going to be okay?	Mangin indi ka bala handa sa sini?
Yes, I'm used to being on my own.	Huo, ako lang anay ang nagaisahanon.
You are friend of Janet, right? I am Andrew, Andrew Smith.	Abyan ka ni Janet, ako si Andrew, Andrew Smith.
Nice to meet you, Andrew. I am Noirin, Noirin O'Neil.	Si Andrew, si Noirin, si Noirin O'Neil.
I'm sorry, I didn't quite catch that.	Ginakasubo ko nga wala ko ini madakpan.
Noirin, N-O-I-R-I-N, it's an Irish name.	Noirin, NOURO JIRUGI JIFIN, isa ini ka Irish nga ngalan.
Wow! It’s packed.	Nag - abot ini sa idalom sang duta.
The train station is indeed crowded. I think It’s hard for us to get on the train.	Sa banta ko mabudlay gid para sa amon ang magsakay sa tren.
it's getting cold.	matugnaw ini.
yes. I bought a scarf yesterday. It's really nice and warm. Have a look.	Nagbakal ako sing isa ka bag - o nga libro, pero maayo gid ini kag mainit.
Oh, it's made of wool. I like the striped pattern.	Ti, human ini sa bulbol, kag nanamian gid ako sa desinyo sini.
yes, I adore simple fashions. How does it look on me?	Huo, simple lang nga uso ang akon ginatan - aw.
it looks great, but you need something to go with it. It's too plain on its own.	Daw makalilipay ini tan - awon, apang kinahanglan mo ang isa ka butang nga mag - upod sa sini.
how about this blue sweater?	Kamusta naman ining asul nga mga yelo?
that's a good idea. When did you buy it? Is it a name brand?	San - o mo ini ginbakal?
yes, but I bought it when it was on sale, 50 % off the original price. OK, what do you think?	Huo, apang ginbakal ko ini sang ginbaligya ini, 50 % gikan sa orihinal nga presyo.
that looks lovely. Just one more thing---you need a pair of earrings.	Isa lang ka butang nga mas barato ang kinahanglan mo nga duha ka bilog.
I've got a pair of pearl earrings. Here it is.	May dala ako nga isa ka paris sang perlas nga mga perlas.
you have good fashion sense, Karen.	may maayo ka nga estilo sang uso, si Karen.
thanks. We should be ourselves. There are so many fashion victims out there.	Dapat kita magpasalamat kay madamo gid ang biktima sang moda.
yes, but with our sense we'll always look good.	Huo, apang sa aton balatyagon pirme kita maayo.
Susan? What brings you here today?	Ano ang nagadala sa imo diri?
Well, I ’ Ve got some papers due.	Ti, nagkuha ako sing pila ka papeles nga may tig - ulo nga Ve.
Really? So what ’ s the news?	Gani, ano gid bala ang rason sang balita?
Not too good yet. Better than I was though.	Apang, indi gid man maayo, kundi mas maayo pa sangsa akon.
Here is my friend Bob.	Yari ang akon abyan nga si Bob.
Are you free tonight?	Hilway ka bala sa sini nga gab - i?
Wanna chill out and watch cable?	Nagakurog bala si Wanna kag nagatan - aw sing kable?
Wow! Besides The Cosby Show, I've never seen a black sitcom. What's this program?	Luwas sa The Cosby Show, wala pa gid ako makakita sing black  sittingcom.
It's a drama called Soul Food. This channel is BET-Black Entertainment Television. It has black shows, news and commercials.	Ini nga alagyan amo ang BETBENNNNNNENNNENNENNENNNE, news and commercials.
This show is like a black Friends.	Ini nga palaguwaon kaangay sang itom nga mga Abyan.
BET has black shows that are overlooked by mainstream white TV.	ANG telebisyon may itom nga mga palaguwaon nga wala ginasapak sang kinaandan nga puti nga TV.
That's cool. I've heard LA has an all-Asian channel on cable.	Nabalitaan ko nga ang tanan nga alagyan sang asan sa kable may hay.
My boss wore a real stupid tie to work today. Can you guess why?	Indi gid maalamon ang akon amo kay indi mo mahibaluan kon ngaa?
He isn't a man of good taste for clothes, is he?	Indi bala sia isa ka lalaki nga maayo sing sabor sa panapton, indi bala?
He is, but I didn't mean that. His daughter bought him a tie as a Father's Day gift, and he was very happy to wear it and show it off to us in the office.	Wala ko man ini buot silingon kay ang iya bata nga babayi nagbakal sa iya sing kurbata subong regalo sang Amay sa Adlaw, kag nalipay gid sia nga isuksok ini kag ipakita ini sa amon sa opisina.
It must be hard being a father.	Dapat nga mabudlay gid ini mangin amay.
No, it's great being a father, seeing your children growing up and loving you and admiring you.	Indi, makalilipay gid ini nga mangin amay, nga makita ang imo kabataan nga nagadaku kag nagahigugma sa imo kag nagadayaw sa imo.
Maybe you'll only feel that way on Father's Day.	Ayhan amo lamang sina ang batyagon mo sa Adlaw ni Tatay.
So Alex, you ’ re off to the Olympic stadium then?	Gani Alex, nag - abot ka liwat sa istadyum sang Olimpiada?
Yes, I should get there just in time for the women ’ s 400m relay.	Huo, dapat ako magkadto didto sing eksakto gid sa tion para sa mga babayi nga naga - squady sa s 400m trans mis sion.
Wow, that should be really exciting, especially with so many famous athletes there.	Wow, dapat gid ina mangin makakulunyag, ilabi na sa madamo nga bantog nga atleta didto.
Yes, I ’ m also going to watch the triple jump and the high jump.	Huo, ginatan - aw ko man ang tatlo ka paglukso kag ang mataas nga pagtumbo.
Well have a good time. Get me some autographs if you can.	Pakalamha ako sing maayo kon masarangan mo.
Ok, I ’ ll try my best.	Ok, gintilawan ko gid man ang akon pinakamaayo.
Yes, I went to the Than He Sports Center for the football match last Sunday.	Huo, nagkadto ako sa To ter He Sports Center para sa hampang nga football sang nagligad nga Domingo.
... And now, let ’ s go to Kenny Williams for today ’ s weather forecast.	... Kag karon, tuguti ang mga taga - Canada nga magkadto sa Kenny Williams para sa karon nga pagbanabana sa lakat sang panahon.
Thank you Bill, and good morning Salt Lake City!	Salamat kay Bill, kag sa maayong balita sang Salt Lake City!
What ’ s the weather looking like today, Kenny?	Anong malip - ot nga panahon ang daw kaangay karon, Kenny?
Well, It’s a bit of a mixed bag in Utah today. we ’ Ve got heavy cloud cover here in Northern Utah, and we ’ re calling for scattered showers throughout the day, with a day-time high of forty-five degrees.Now, if we move down to the south of the state, we can see that a cold front is moving in.We can expect clear skies, but it will be quite cold, with temperatures hovering around the thirty degree mark.	Ti, may diutay ini nga bag sa sulod sang isa ka adlaw, nga may madamol nga panganod diri sa Northern - New found er, kag ginatawag namon liwat ang nagalinapta nga mga tulo sang tubig sa bug - os nga adlaw, nga may tig - ilinit nga may kap - atan ka de - kalidad nga kataason.
It’s a chilly day folks, so don ’ t forget your coats! What about tomorrow Kenny? Do you have good news for us?	Nagabutang ini sing isa ka makakalapoy nga adlaw - adlaw nga mga ginikanan, gani malipatan bala sang mga babayi ang imo mga balahibo!
Well, it ’ ll be a rainy day for Northern Utah.we can expect some isolated downpours in the morning. Winds will be coming in from the North East, with gusts reaching twenty-three miles per hour. Salt Lake City can expect the rain to turn to sleet in the evening. Things are looking a bit better for the South.we ’ ll see cloudy skies with a chance of showers. Later in the day, we can expect partlycloudy skies, with a forecast high of thirty-eight degrees.	Ti, isa ini ka adlaw nga tingulan para sa Naaminhan nga bahin sang aminhan nga bahin sang dagat. Makapaabot kita nga ang pila ka naligwin nga ulan sa aga, ang mga hangin magatupa halin sa Aminhan nga Sidlangan, nga ang mga balod nga may kadasigon nga duha ka pulo ka kilometro kada oras.
You heard it folks! It’s gonna be a cold one!	Nabatian mo nga ang gona nga gona daw wala sing balatyagon!
That ’ s right Bill. We will have more later on today on the six o ’ clock news. That ’ s the weather forecast for this morning.	Sa sina nga tion, mas madamo kita sing mabatian sa anom ka balita parte sa oras nga wala pa gid matabo.
He's been compared to Rimbaud, you know.	Napaanggid sia kay Rlaud, nahibaluan mo.
You mean as in Sylvester Stallone?	Kaangay ka sang Sylvester Stallone?
No, you idiot. I mean the poet, Arthur Rimbaud - R, I, M, B, A, U, D.	Indi, buot ko silingon ang mamalaybay, si Arthur Rhabaud - R, I, M, B, A, E, D.
I am having a hard time at my job.	Mabudlay ang akon trabaho.
What's wrong, Julia?	Ano ang problema ni Julia?
My colleagues quickly get promotions, while I always get sidelined. I don't know what to do anymore.	Ang akon mga kaupod gilayon nga naga - high up, samtang pirme ako nagaka - withdline, indi ko na mahibaluan kon ano ang himuon.
Don't give up so soon.	Indi mag - untat.
But I don't know what else I can do. I am willing to work hard. Sometimes I make mistakes and the boss is not happy.	Pero kon kaisa, makahimo ako sing sala kag indi malipayon ang akon amo.
Mistakes are just a lessons to learn from.	Ang sayop isa lamang ka leksion nga matun - an gikan sa sini.
Tell that to my boss.	Sugiri sia sina.
Do you know Abraham Lincoln?	Kilala mo bala si Abraham, si Abraham,?
He grew up poor in Kentucky and barely had a year of schooling, but he went on to become the President of United States.	Nagdaku sia nga imol sa Kentucky kag halos wala sing tuig nga pag - eskwela, apang sia ang nangin Presidente sang Estados Unidos.
He was also assassinated because of his views.	Ginpatay man sia bangod sang iya mga pagtamod.
He is known as American's greatest president. Do you know why? Because he fought against slavery and secession at a time in history where others were too afraid to do anything. He succeeded because of his ambition and generous spirit.	Nahibaluan mo bala kon ngaa amo sini ang iya ginhimo bangod sang iya ambisyon kag kaalwan sa maragtas nga nahadlok ang iban nga himuon ang tanan?
Well, if he can become president, then I can at least get a promotion.	Ti, kon sia mangin presidente, nian sa dimagkubos makatigayon ako sing promosyon.
That's the spirit. Never give up on your dream.	Indi gid ini pag - untatan.
