Hiligaynon	English
Madamo sang lamok sa sulod.	There are many mosquitoes inside.
Isira ang moskitero sang bata.	Close the child's mosquito net.
Tulog na ang amon sapat.	Our animal is already asleep.
Bugtaw na ang manok sa aga.	The chicken is awake in the morning.
Malaka lang ang tawo diri.	There are only a few people here.
Madamo ang bunga sang bayabas.	The guava tree has many fruits.
Sukla ang kalabaon sang tela.	Measure the length of the cloth.
Bug-at ang sako sang bugas.	The sack of rice is heavy.
Magang-an lang ining karga.	This load is just light.
Hatagi ako sing gamay nga tubig.	Give me a little water.
Pila ang bili sang sining banga?	How much is the price of this jar?
Barato lang ang baligya sa tindahan.	The goods at the store are just cheap.
Wala na kamo sing kalamay?	Do you have no more sugar?
Ari ang akon bayad sa imo.	Here is my payment to you.
Batuna ining regalo halin sa amon.	Accept this gift from us.
Salamat gid sa imo pag-ulikid.	Thank you very much for your care.
Wala ina sing kabilinggan.	That is no trouble at all.
Magbinuligay kita sa ubra.	Let's help each other in the work.
Maugod gid ang akon asawa.	My spouse is very hardworking.
Buot ang amon mga kabata-an.	Our children are well-behaved.
Indi kamo mag-away sa sulod.	Do not fight inside.
Mag-ayuhay kamo nga mag-ulutod.	Get along well as siblings.
Palangga namon ang amon lola.	We love our grandmother.
Isog ang amon lolo sa amon.	Our grandfather is strict with us.
Pila kamo tanan sa balay?	How many are you all in the house?
Mapuli na kami sa probinsya.	We are going home to the province.
Malayo ang byahe sang bus.	The bus trip is long.
Dal-a ang imo payong subong.	Bring your umbrella now.
Basi mabasa ka sang ulan.	You might get wet from the rain.
Mainit gid ang panahon diri.	The weather is very hot here.
Daw maulan gid sa hapon.	It looks like it will rain in the afternoon.
Masanag ang bulan sa gwa.	The moon is bright outside.
Madulom ang dalan kon gab-i.	The road is dark at night.
Pungko kamo sing maayo sa bangko.	Sit properly on the bench.
Ubosa ang unod sang baso.	Finish the contents of the glass.
Diin mo ginbutang ang silhig?	Where did you put the broom?
Silhiga ang mga dagi sa salog.	Sweep the dust on the floor.
Ibutang ang mga bayu sa bularan.	Put the clothes on the drying rack.
Maluya ang lawas sang tigulang.	The elderly person's body is weak.
Hatagi sia sing mainit nga sabaw.	Give him/her hot soup.
Inom ka sang bulong sa hilanat.	Drink medicine for the fever.
Magpahuway ka anay sa idalom.	Rest first underneath (the shade).
Matahum gid ang inyo balay.	Your house is very beautiful.
Limpyo ang hangin sa uma.	The air on the farm is clean.
Nagakanta ang mga pispis sa kahoy.	The birds are singing in the tree.
Dasig ang dalagan sang ido.	The dog's run is fast.
Mahina ang lakat sang karubaw.	The carabao's walk is slow.
May ara kamo sing asin?	Do you have any salt?
Hatagi ako sing tunga nga baso.	Give me half a glass.
Husto na ina nga kadamuon.	That amount is enough.
Sobra ang imo ginhatag sa akon.	What you gave me was too much.
Iuli ang sobra nga sukli.	Return the excess change.
Salamat sa husto nga pag-isip.	Thank you for the correct counting.
Mag-andam kamo sa inyo lakat.	Be careful on your way.
Kabay pa nga maayo ang tanan.	I hope all is well.
Amen, mangin maayo gid kita.	Amen, we will be very well.
Paalam na sa inyo tanan.	Farewell to you all.
Tubtob sa liwat nga pagkitaay.	Until we meet again.
Malipayon gid ako nga makita ka liwat.	I am very happy to see you again.
Ngaa nagasungod ang imo bata?	Why is your child sulking?
Indi ka mag-akig sa akon.	Do not be angry with me.
Nahadlok sia sa madulom nga dalan.	He/She is afraid of the dark road.
Huya-huya ang dalaga sa atubang.	The young woman is shy in front.
Maisog ang amon amay sa amon.	Our father is brave/strict with us.
Maugod sia nga naga-obra sa uma.	He/She is diligent in working on the farm.
Matig-a ang ulo sang sining bata.	This child is stubborn.
Palangga gid sang lola ang iya apo.	The grandmother really loves her grandchild.
Mag-ayuhay kamo pirme nga mag-ulutod.	Always get along well as siblings.
Buligi ang mga imol sa banwa.	Help the poor in the town.
Mapinalanggaon ang mga Ilonggo.	Ilonggos are very affectionate.
Indi ka maghambal sang malain.	Do not speak evil words.
Magpasalamat ka sa iya kaayo.	Give thanks for his/her kindness.
Pasayluha ako sa akon sala.	Forgive me for my mistake.
Ano ang ginahibi mo subong?	What are you crying about now?
Nagakadlaw sila sa aton istorya.	They are laughing at our story.
Maalam ang iya sabat sa pamangkot.	His/Her answer to the question is wise.
Buot gid ang amon mga kaingod.	Our neighbors are very kind.
Indi mag-ilinaway sa tunga sang dalan.	Do not fight in the middle of the road.
Nagaupod kami pirme sa pagsimba.	We always go together to church.
Sin-o ang imo kaupod sa balay?	Who is your companion in the house?
Ako lang isa ang nabilin diri.	I am the only one left here.
Mag-istoryahanay kita sing maayo.	Let us talk properly.
Ano ang ginabatyag sang imo kasing-kasing?	What is your heart feeling?
Nasubuan ako tungod sa natabo.	I am sad because of what happened.
Indi ka magkabalaka, ari ako.	Do not worry, I am here.
Maghulat ka anay sa gwa.	Wait for a while outside.
Dasig ang iya pag-abot diri.	His/Her arrival here was fast.
Mahina ang iya lakat subong.	His/Her walk is slow right now.
Nakilala mo bala ang tawo nga ina?	Do you know that person?
Ambot kon diin sia nagkadto.	I don't know where he/she went.
Sigurado ka bala sa imo ginasiling?	Are you sure about what you are saying?
Matuod gid ang tanan nga ginsiling ko.	Everything I said is really true.
Indi ka magbutig sa imo ginikanan.	Do not lie to your parents.
Respetuha ang mga malantas sa aton.	Respect those older than us.
Magbinuligay kita sa sining ubra.	Let us help each other in this work.
Maayo ang record sang iya pamatasan.	His/Her character record is good.
Nakalulu ang iya tingog pamatian.	His/Her voice is soothing to listen to.
Maisog sia nga nag-atubang sa amon.	He/She bravely faced us.
Malipayon kami sa inyo pag-abot.	We are happy about your arrival.
Halong ka sa imo pagpauli.	Take care on your way home.
Kabay pa nga magkitaay kita liwat.	I hope we see each other again.
Salamat gid sa imo pag-ulikid.	Thank you very much for your concern.
Wala ina sing kabilinggan sa akon.	That is no trouble for me.
Proud ang pamilya sa imo kadalag-an.	The family is proud of your success.
Mag-antos kita para sa kaayuhan.	Let us endure for the sake of good.
Maayo gid ang inyo ginpakita.	What you showed was very good.
Indi kamo magpahigad sa kinahanglanon.	Do not set aside what is necessary.
Magpangamuyo kita sa Dios.	Let us pray to God.
Amen, amo gid ina ang dapat.	Amen, that is exactly how it should be.
Pila ka tuig na kamo nga mag-asawa?	How many years have you been married?
Lima na ka tuig kami nga upod.	We have been together for five years.
May ara na kamo sing bata?	Do you already have a child?
Isá pa lang ang amon anak.	We only have one child so far.
Malipayon ang amon pagpuyo diri.	Our living here is happy.
Diin dampi ang inyo balay?	Whereabouts is your house?
Didto sa binit sang suba.	There by the side of the river.
Bisitahan niyo kami kon may oras.	Visit us if you have time.
Hu-o, makadto kami didto bwas.	Yes, we will go there tomorrow.
Salamat sa pag-agda sa amon.	Thank you for inviting us.
Gamay lang ang amon balay.	Our house is just small.
Pero limpyo ang amon palibot.	But our surroundings are clean.
Matam-is ang amon pag-ubay.	Our guidance (of each other) is sweet.
Indi mag-untat sa pagbinuligay.	Do not stop helping each other.
Masanag ang aton palaabuton.	Our future is bright.
Tapuson naton ining ubra subong.	Let us finish this work today.
Ubosa ang inyo pasensya sa bata.	Exhaust your patience for the child.
Mahumok ang iya buot sa amon.	His/Her heart is soft toward us.
Isog ang iya hambal pero maayo sia.	His/Her words are harsh but he/she is good.
Nakit-an ko sia nga naga-isahanon.	I saw him/her being alone.
Ginpamangkot ko sia kon kamusta sia.	I asked him/her how he/she was.
Nagsabat sia nga maayo man sia.	He/She answered that he/she was fine.
Nagkadlaw kami nga duha.	The two of us laughed.
Namit gid ang amon istoryahanay.	Our conversation was very pleasant.
Pila na ang oras sang inyo lakat?	What time is your departure?
Alas-otso kami sang gab-i malakat.	We will leave at eight in the evening.
Mag-andam kamo sa dalan pirme.	Always be careful on the road.
Dal-a ining pagkaon para sa byahe.	Take this food for the trip.
Salamat gid sa inyo regalo.	Thank you very much for your gift.
Batuna ining pasalamat halin sa amon.	Accept this thanks from us.
Wala na sing iban pa nga problema?	Is there no other problem?
Wala na, maayo na ang tanan.	None anymore, everything is fine now.
Mag-upod kamo sa amon sa kalingawan.	Come with us for some fun.
Malipayon ang mga tawo sa pyesta.	The people are happy at the fiesta.
Matahum ang mga sapat sa latagon.	The animals in the field are beautiful.
Madamo ang nagapamati sa iya.	Many are listening to him/her.
Maalam gid sia magdala sang tawo.	He/She is very good at leading people.
Respetado sia sa amon baryo.	He/She is respected in our village.
Buot kag maugod nga pagkatawo.	A kind and hardworking personality.
Kabay pa nga sundon sia sang iban.	I hope others follow him/her.
Amen, mangin maayo ang komunidad.	Amen, the community will be good.
Paalam na, malakat na kami.	Farewell, we are leaving now.
Tubtob sa liwat nga pagkitaay naton.	Until we see each other again.
Maayong gab-i sa inyo tanan.	Good night to you all.
Magtulog kamo sing maayo.	Sleep well.
Bugtaw kita bwas sa kasanagon.	We will wake up at dawn tomorrow.
Mag-obra kita para sa aton pamilya.	Let us work for our family.
Ang Dios mag-upod sa aton.	God be with us.
Maayo gid ang aton palaabuton.	Our future is very good.
Makadto ako sa merkado subong.	I am going to the market now.
Tagpila ang kilo sang bugas?	How much is a kilo of rice?
Mahal gid ang presyo sang isda.	The price of fish is very expensive.
Hatagi ako sing gamay nga tawad.	Give me a little discount.
Barato na ina nga baligya.	That item is already cheap.
Pila ang kabilugan sang akon bakwa?	How much is the total of my purchase?
Wala na kamo sing gamay nga sinsilyo?	Do you have no more small change?
Ari ang akon bayad sa imo.	Here is my payment to you.
Pila ka porsyento ang tubo sini?	What percentage is the profit of this?
Nagautang sia para sa iya puhunan.	He/She is borrowing for his/her capital.
Kinahanglan naton magtipon sang kwarta.	We need to save money.
Gastos gid ang magbiyahe sa malayo.	Traveling far is very costly.
May ara kamo sang ginabaligya nga manok?	Do you have any chickens for sale?
Bakal ka sang asin kag kalamay.	Buy some salt and sugar.
Diin dampi ang baylaran diri?	Where is the payment counter here?
Bukas na ang tindahan sa kanto.	The store at the corner is open already.
Sirado ang banko kon Sabado.	The bank is closed on Saturdays.
Pila ang sweldo mo kada semana?	How much is your salary every week?
Kulang ang sulod sang akon pitaka.	The contents of my wallet are lacking.
Nadula ang akon kwarta sa dalan.	My money was lost on the road.
Mag-isip ka sing maayo sang sukli.	Count the change carefully.
Husto gid ang imo itir sa amon.	Your calculation for us is exactly right.
Indi magdaya sa pagtimbang sang karne.	Do not cheat in weighing the meat.
Malapad ang pwesto niya sa merkado.	His/Her stall in the market is wide.
Madamo ang nagabakal sa iya subong.	Many people are buying from him/her now.
Preska pa ang mga utan halin sa uma.	The vegetables from the farm are still fresh.
Ubos na ang baligya nga itlog.	The eggs for sale are all gone/sold out.
San-o maabot ang bag-o nga karga?	When will the new cargo arrive?
Malakat ang trak sa alas-otso.	The truck will leave at eight o'clock.
Pila ka sako ang i-deliver niyo?	How many sacks will you deliver?
Bug-at gid ang sako sang asukar.	The sack of sugar is very heavy.
Magang-an lang ining mga tela.	These fabrics are just light.
Ilista ang iya utang sa notebook.	List his/her debt in the notebook.
Bayari ang imo obligasyon sa oras.	Pay your obligation on time.
Wala ako sing kwarta nga papel subong.	I don't have paper money right now.
Pila ka pesos ang bayad sa plete?	How many pesos is the fare?
Tagsingkuenta ang kada tumpok sini.	Each pile of this is fifty pesos.
Batuna ining resibo sang imo bakal.	Accept this receipt for your purchase.
Maalam sia magnegosyo sa banwa.	He/She is wise in doing business in town.
Maugod sia sa pagpangita sang pangabuhian.	He/She is diligent in seeking a livelihood.
Magbinuligay kita sa pagbaligya.	Let's help each other in selling.
Indi kamo mag-away tungod sa kwarta.	Do not fight because of money.
Respetuha ang presyo sang tindera.	Respect the price of the vendor.
May discount kamo kon magbakal madamo.	You have a discount if you buy many.
Pila ka dusing ang gusto mo?	How many dozen do you want?
Isá ka gatos ka pesos ang tanan.	Everything is one hundred pesos.
Ari ang imo sukli nga dyes pesos.	Here is your ten pesos change.
Salamat gid sa imo pagbakal sa amon.	Thank you very much for buying from us.
Balik ka liwat sa masunod nga semana.	Come back again next week.
Kabay pa nga mag-uswag ang inyo negosyo.	I hope your business progresses/prospers.
Amen, salamat sa imo pangamuyo.	Amen, thank you for your prayer.
Diin dampi ang paradahan sang dyip?	Where is the jeepney terminal?
Malayo pa bala ang lalakton naton?	Do we still have a long way to walk?
Malapit na lang kita mag-abot.	We are almost there.
Dal-a ang imo listahan sang baklon.	Bring your list of things to buy.
Basi malimtan mo ang iban nga gamit.	You might forget the other items.
Mainit gid sa gwa sang merkado.	It is very hot outside the market.
Pungko anay sa landong sang kahoy.	Sit first in the shade of the tree.
Inom ka sang mabugnaw nga tubig.	Drink some cold water.
Diin ang botika nga pinakamalapit?	Where is the nearest drugstore?
Bakal ka sang bulong sa hilanat.	Buy some medicine for fever.
Pila ang kantidad sang reseta mo?	What is the amount of your prescription?
Mabuhay pa ang aton paghulat diri.	Our waiting here will take a long time.
Tapos na ang oras sang pag-obra.	The working hours are over.
Mapuli na ang mga naga-obra sa uma.	The farm workers are going home now.
Malipayon kami kay may kita subong.	We are happy because there is an income today.
Ihatag ang kwarta sa imo asawa.	Give the money to your wife.
Ipanigana ang para sa pag-eskwela.	Set aside the portion for schooling.
Ang ihibalo amo ang matuod nga manggad.	Knowledge is the true wealth.
Mag-andam kamo sa inyo pagpauli.	Be careful on your way home.
Dal-a ining pasalubong para sa mga bata.	Take this gift for the children.
Namit gid ang tinapay halin sa banwa.	The bread from town is very delicious.
Ubosa ang inyo panyaga subong.	Finish your lunch now.
Busog na gid ang tanan sa balay.	Everyone at home is very full.
Patya ang suga antes kamo matulog.	Turn off the light before you sleep.
Masanag ang bulan sa tunga sang latagon.	The moon is bright in the middle of the field.
Madulom ang dalan kon wala sing kasanag.	The road is dark if there is no light.
Mag-upod kita bwas sa pag-obra.	Let's go together to work tomorrow.
Dasig ang aton lakat pakadto didto.	Our walk towards there is fast.
Mahina ang dagan sang karusa subong.	The cart's movement is slow today.
Pila ka oras ang aton byahe?	How many hours is our trip?
Tatlo ka oras ang byahe sang bus.	The bus trip is three hours long.
Malaka na lang ang tawo sa dalan.	There are only a few people on the road now.
Maayong gab-i sa inyo tanan diri.	Good night to all of you here.
Magpahuway kamo sing maayo subong.	Rest well now.
Tubtob sa liwat naton nga pagkitaay.	Until our next meeting.
Ginasiling ko sa imo ang matuod.	I am telling you the truth.
Magpati ka sa akon mga hambal.	Believe in my words.
Indi gid ako magbutig sa imo.	I will never lie to you.
Ambot kon ngaa natabo ini sa aton.	I don't know why this happened to us.
Sin-o ang naghimo sini nga sala?	Who made this mistake?
Ako ang nag-ako sang akon sala.	I admitted my mistake.
Pasayluha ako sa akon kakulangan.	Forgive me for my shortcomings.
Hu-o, ginapatawad ko na ikaw.	Yes, I forgive you already.
Salamat sa imo daku nga pasensya.	Thank you for your great patience.
Wala na sing kabilinggan sa akon.	It is of no concern to me anymore.
Mag-ayuhay kita tanan nga mag-ulutod.	Let's all get along as siblings.
Maayo gid ang aton pag-inupdanay.	Our companionship/relationship is very good.
Kabay pa nga magdugay ini.	I hope this lasts long.
Amen, amo man sa imo.	Amen, the same to you.
Paalam na sa inyo tanan subong.	Farewell to all of you for now.
Gusto ko magpatindog sang balay.	I want to build a house.
Pila ka gatos ka semento ang kinahanglan?	How many hundred bags of cement are needed?
Mahal ang bakal sa hardware subong.	Steel is expensive at the hardware store now.
Malapad ang pundasyon sang bilding.	The building's foundation is wide.
Diin mo ginbutang ang martilyo?	Where did you put the hammer?
Gamita ang lansi para sa lansang.	Use the claw bar for the nail.
Mabug-at ang mga hallow blocks.	The hollow blocks are heavy.
Pila ka tapakan ang kalabaon sini?	How many feet is the length of this?
Maalam gid ang amon panday.	Our carpenter is very skilled.
Kanaryas ang kolor sang amon pader.	The color of our wall is yellow.
Kay-uha ang atop nga nagatulo.	Fix the roof that is leaking.
Gamita ang kawayan para sa kudal.	Use bamboo for the fence.
Matig-a gid ang kahoy nga tugas.	Molave wood is very hard.
Manubo lang ang atop sang amon balay.	The roof of our house is just low.
Mataas ang hagdanan pakadto sa ibabaw.	The stairs going up are high.
Pila ka kwarto ang gusto mo ipahimo?	How many rooms do you want to have made?
Buksi ang pultahan sang kusina.	Open the kitchen door.
Siraduha ang bintana kon gab-i.	Close the window at night.
Limpyuha ang mga dagi sa salog.	Clean the dust on the floor.
Pinturahan naton ang gwa sang balay.	Let's paint the outside of the house.
Ano ang sukul sang inyo duta?	What is the measurement of your land?
Malapad ang ugsaran sa atubang.	The yard in front is wide.
Diin dampi ang banyo sa sining plano?	Where is the bathroom in this plan?
Magang-an lang ining mga tabla.	These wooden boards are just light.
Ibutang ang mga gamit sa bodega.	Put the tools/items in the warehouse.
Kinahanglan naton sing dugang nga lansang.	We need more nails.
Dasig ang ubra sang mga tinawo.	The workers' work is fast.
Mahina ang pag-uga sang semento tungod sa ulan.	The cement is drying slowly because of the rain.
Pila ka adlaw ang pahuway sang mga panday?	How many days is the carpenters' break?
Domingo ang adlaw nga wala sing ubra.	Sunday is the day without work.
Tapos na ang balay sa masunod nga bulan.	The house will be finished next month.
Malipayon kami sa amon bag-o nga puluy-an.	We are happy in our new home.
Maayo gid ang pagkay-ub sang atop.	The fixing of the roof was very good.
Wala na sing tulo ang amon balay.	Our house has no more leaks.
Masanag ang suga sa sala.	The light in the living room is bright.
Madulom ang agi-an sa likod.	The passageway at the back is dark.
Isira ang kudal para indi makasulod ang sapat.	Close the fence so the animals cannot enter.
Maugod ang amon kapatas sa site.	Our foreman at the site is diligent.
Pila ang kabilugan nga gasto naton?	How much is our total expense?
Ilista ang tanan nga materyales sa papel.	List all the materials on the paper.
Bakal ka sang pinturang puti.	Buy some white paint.
Hatagi ako sing gamay nga sinsilyo para sa plete.	Give me some small change for the fare.
Ari ang bayad para sa inyo ubra.	Here is the payment for your work.
Salamat sa madasig nga pag-obra.	Thank you for the fast work.
Wala ina sing problema sa amon.	That is no problem for us.
Mag-andam kamo sa paggamit sang lagari.	Be careful in using the saw.
Isul-ob ang inyo proteksyon sa ulo.	Wear your head protection.
Mainit gid sa ibabaw sang atop.	It is very hot on top of the roof.
Inom kamo sang madamo nga tubig.	Drink plenty of water.
Pahuway anay kamo sa landong.	Rest for a while in the shade.
Namit ang amon panyaga subong.	Our lunch today is delicious.
Ubosa ang kan-on sa inyo pinggan.	Finish the rice on your plates.
Busog na gid ang mga naga-obra.	The workers are very full.
Magpadayon kita sa ubra pagkatapos sang pahuway.	Let's continue working after the rest.
Husto gid ang timbang sang mga semento.	The weight of the cement bags is exactly right.
Indi magdaya sa pagtakus sang duta.	Do not cheat in measuring the land.
Matuod gid ang ginasiling sang amon panday.	What our carpenter says is really true.
Respetuha ang luyag sang tag-iya.	Respect the wishes of the owner.
Kabay pa nga mangin matig-a ining balay.	I hope this house will be sturdy.
Amen, mangin maayo gid ang tanan.	Amen, everything will be very good.
Diin ang paradahan sang trak sang semento?	Where is the cement truck terminal/parking?
Malayo pa bala ang inyo kargahan?	Is your loading area still far?
Malapit na lang kita sa kanto.	We are almost at the corner.
Dal-a ining mga kagamitan sa sulod.	Bring these tools inside.
Basi madula ang iban nga gamit sa gwa.	The other tools outside might get lost.
Siraduha ang bodega antes magpuli.	Close the warehouse before going home.
Mapuli na kami sa amon pamilya.	We are going home to our families now.
Malipayon kami kay tapos na ang ubra subong.	We are happy because today's work is finished.
Mag-andam kamo sa dalan pirme.	Always be careful on the road.
Dal-a ining pasalubong para sa inyo bata.	Take this gift for your children.
Salamat gid sa inyo kaayo sa amon.	Thank you very much for your kindness to us.
Wala ina sing kabilinggan sa akon.	That is of no concern to me.
Magkitaay kita liwat bwas sa aga.	Let's see each other again tomorrow morning.
Alas-syete kita magasugod ubra.	We will start working at seven o'clock.
Hu-o, maga-abot kami sa oras.	Yes, we will arrive on time.
Maayong gab-i sa inyo tanan.	Good night to you all.
Magtulog kita sing maayo subong.	Let's sleep well now.
Bugtaw kita sa kasanagon sang aga.	We will wake up at the crack of dawn.
Mag-obra kita para sa aton palaabuton.	Let's work for our future.
Ang ihibalo kag ubra amo ang manggad.	Knowledge and work are wealth.
Maayo gid ang aton pag-inupdanay.	Our partnership/companionship is very good.
Indi mag-untat sa pagbinuligay.	Do not stop helping each other.
Masanag ang aton padulungan.	Our destination is bright.
Ginasiling ko sa imo ang matuod.	I am telling you the truth.
Magpati ka sa akon mga plano.	Believe in my plans.
Indi gid ako magbutig sa inyo.	I will never lie to you.
Ambot kon ngaa wala pa nag-abot ang karga.	I don't know why the cargo hasn't arrived yet.
Sin-o ang naghimo sini nga drowing?	Who made this drawing?
Ako ang nagplano sang sining balay.	I was the one who planned this house.
Pasayluha ako kon may kakulangan.	Forgive me if there are shortcomings.
Hu-o, maayo man ang tanan.	Yes, everything is fine.
Salamat sa inyo daku nga pasensya.	Thank you for your great patience.
Kabay pa nga magdugay ining bilding.	I hope this building lasts long.
Paalam na sa inyo subong.	Farewell to you for now.
Tubtob sa liwat naton nga pagkitaay.	Until our next meeting.
Mag-andam kamo sa inyo lakat.	Be careful on your way.
Amen, Dios mag-upod sa aton tanan.	Amen, God be with us all.
Makadto kita sa kapitolyo bwas.	We are going to the capitol tomorrow.
Sin-o ang kapitan sang inyo barangay?	Who is the captain of your barangay?
Nagpirma sia sang kasulatan sa abogado.	He/She signed a document with the lawyer.
May ara kami sing sinapol sa plasa.	We have a meeting at the plaza.
Indi kamo maglapas sa kasuguan.	Do not violate the law.
Kinahanglan naton magbayad sang buhis.	We need to pay taxes.
Diin dampi ang opisina sang mayor?	Where is the mayor's office located?
Nakakuha na ako sang sedula.	I have already obtained a community tax certificate.
May reklamo ang akon kaingod.	My neighbor has a complaint.
Nag-atubang sila sa lupon sang barangay.	They faced the barangay mediation board.
Isulat ang imo panaksi sa papel.	Write your testimony on the paper.
Indi mag-obra sing kinagula sa banwa.	Do not cause a disturbance in town.
Respetuha ang kinamatarung sang iban.	Respect the rights of others.
Pila ang multa sa sining sala?	How much is the fine for this offense?
Dakop sang pulis ang kawatan.	The thief was caught by the police.
Priso na sia sa sulod sang karsel.	He/She is already imprisoned inside the jail.
Magbinuligay kita para sa kalinong.	Let us help each other for peace.
Maugod ang amon mga opisyales.	Our officials are hardworking.
San-o ang adlaw sang eleksyon?	When is the day of the election?
Botante na ako sa sining banwa.	I am already a voter in this town.
Indi magbaligya sang imo boto.	Do not sell your vote.
Matuod gid ang ginasiling sang saksi.	What the witness says is really true.
Pataura ang imo ihibalo sa laye.	Sharpen your knowledge of the law.
Ambot kon sin-o ang naghimo sang sala.	I don't know who committed the offense.
Ako ang nag-ako sang akon kakulangan.	I admitted my shortcoming.
Pasayluha ako sa akon paglapas.	Forgive me for my violation.
Hu-o, ginapatawad ko na ikaw.	Yes, I forgive you already.
Kabay pa nga indi na ini maliwat.	I hope this won't happen again.
Salamat sa imo daku nga pasensya.	Thank you for your great patience.
Wala na sing gamo sa amon lugar.	There is no more trouble in our place.
Malipayon kami sa amon pagpuyo.	We are happy in our living.
Mag-ayuhay kita tanan nga pumuluyo.	Let's all get along as citizens.
Maayo gid ang aton pag-inupdanay.	Our companionship is very good.
Kabay pa nga mag-uswag ang aton banwa.	I hope our town prospers.
Amen, mangin maayo ang tanan.	Amen, everything will be well.
Pila ka tuig ang termino sang mayor?	How many years is the mayor's term?
Tatlo ka tuig ang tagsa ka termino.	Each term is three years long.
Kinahanglan naton sing lisensya sa pag-obra.	We need a license to work/operate.
Ipakita ang imo dokumento sa guard.	Show your documents to the guard.
Bukas ang opisina halin alas-otso.	The office is open from eight o'clock.
Sirado na sila sa hapon.	They are already closed in the afternoon.
Husto gid ang imo gindala nga papel.	The papers you brought are exactly right.
Ibutang ang selyo sa idalom.	Put the seal at the bottom.
Batuna ining sertipiko sang pagkilala.	Accept this certificate of recognition.
Salamat gid sa inyo pag-alagad.	Thank you very much for your service.
Wala ina sing kabilinggan sa amon.	That is of no concern to us.
Mag-andam kamo sa inyo pagpauli.	Be careful on your way home.
Dal-a ining balita sa inyo pamilya.	Take this news to your family.
Masanag ang aton palaabuton subong.	Our future is bright now.
Ang katarungan amo ang manggad.	Justice is wealth.
Indi mag-untat sa pagpangita sang kamatuoran.	Do not stop searching for the truth.
Malayo ang lalakton pakadto sa korte.	It is a long walk to the court.
Ari na ang desisyon sang huwes.	Here is the decision of the judge.
Basaha sing maayo ang direksyon.	Read the directions carefully.
Isulat ang sabat sa tunga sang linya.	Write the answer in the middle of the line.
Tapos na ang oras sang pagboto.	The time for voting is over.
Ihatag ang mga balota sa unahan.	Pass the ballots to the front.
Salamat sa inyo pagpamati sa amon.	Thank you for listening to us.
Maayong hapon sa inyo tanan diri.	Good afternoon to all of you here.
Mag-andam kamo sa pagtabok sa dalan.	Be careful in crossing the road.
Tubtob sa liwat nga pagkitaay naton.	Until we see each other again.
Maayo gid ang inyo ginpakita subong.	What you showed today was very good.
Hu-o, maningkamot pa kami gid.	Yes, we will strive even harder.
Amen, mangin maayo ang komunidad.	Amen, the community will be good.
Sin-o ang nagpirma sining kasugtanan?	Who signed this agreement?
Kami ang nagpirma sa atubang sang saksi.	We signed in front of the witness.
Pila ka kopya ang kinahanglan naton?	How many copies do we need?
Duha ka kopya para sa tagsa-tagsa.	Two copies for each person.
Ibutang ini sa sulod sang sobre.	Put this inside the envelope.
Siraduha ang sobre sing maayo.	Close the envelope properly.
Ipadala ini sa koreo bwas.	Send this to the post office tomorrow.
Tagpila ang selyo pakadto sa Manila?	How much is the stamp to Manila?
Madasig ang pag-abot sang sulat.	The arrival of the letter is fast.
Salamat sa madasig nga pag-alagad.	Thank you for the fast service.
Wala ina sing problema sa amon.	That is no problem for us.
Mag-andam kamo sa inyo lakat pirme.	Always be careful on your way.
Dal-a ang ining mga dokumento.	Take these documents.
Basi malimtan niyo ini sa lamesa.	You might forget these on the table.
Mapuli na kami sa amon balay.	We are going home to our house now.
Malipayon kami kay tapos na ini.	We are happy because this is finished.
Magtulog kamo sing maayo subong.	Sleep well now.
Bugtaw kita sa kasanagon sang aga.	We will wake up at the crack of dawn.
Mag-obra kita para sa aton banwa.	Let us work for our town.
Ang Dios mag-upod sa aton tanan.	God be with us all.
Maayo gid ang aton padulungan.	Our destination is very good.
Indi mag-untat sa pagbinuligay.	Do not stop helping each other.
Masanag ang aton kabuwasan.	Our future is bright.
Ginasiling ko sa inyo ang kamatuoran.	I am telling you the truth.
Magpati kamo sa akon mga hambal.	Believe in my words.
Indi gid ako magbutig sa inyo.	I will never lie to you.
Ambot kon san-o ini matapos.	I don't know when this will end.
Sin-o ang naghimo sining plano?	Who made this plan?
Ako ang naghimo sini para sa inyo.	I made this for you.
Pasayluha ako kon may sala ako.	Forgive me if I have a mistake.
Hu-o, patawad na ang tanan.	Yes, everything is forgiven.
Salamat sa inyo daku nga pasensya.	Thank you for your great patience.
Kabay pa nga magdugay ining kalinong.	I hope this peace lasts long.
Paalam na sa inyo tanan subong.	Farewell to all of you for now.
Tubtob sa liwat naton nga pagkitaay.	Until our next meeting.
Mag-andam kamo sa inyo lakat.	Be careful on your way.
Amen, Dios mag-upod sa aton.	Amen, God be with us.
Malayo pa bala ang inyo banwa?	Is your town still far?
Malapit na lang kita mag-abot.	We are almost there.
Diin dampi ang paradahan sang bus?	Where is the bus terminal located?
Pila ang plete pakadto sa syudad?	How much is the fare to the city?
Sakay na kamo sa dyipney.	Get on the jeepney now.
Para diri lang sa kanto, palihog.	Just here at the corner, please.
Dasig ang dalagan sang sining sa-salakyan.	This vehicle is running fast.
Mahina ang lakat sang trapiko subong.	The traffic is moving slowly right now.
Pila ka oras ang byahe sa barko?	How many hours is the trip by boat?
Malapad ang suba nga aton tabukon.	The river we are crossing is wide.
Mataas ang pampang sang sapa.	The bank of the creek is high.
Kadto kita sa putok-putokan sang bukid.	Let’s go to the peak of the mountain.
Matahum ang lanyog sa kapatagan.	The view in the plains is beautiful.
