src	tgt
what do you do	ano ang imo gina-ubra
thrive	himakas
beneath	sa idalom
throat	tubog
shed	silong
product	produkto
buddy	barkada
so far	tubtob karon
skills	kalantip
slow	mahinay
assess	pagbanabana
relative	paryente
string	higot
messy	magamo
achievement	kadalag-an
sh	sh
possession	posesyon
hurry	dalia
disappear	madula
drain	naubos
bound	makadto sa
liver	atay
scary	kaladlukan
born	nabun-ag
spoil	nadunot
roof	atop
threshold	salamputan
shoulder	abaga
argument	baisay
road	dalan
act	akto
capital	kapital
vocabulary	bokabularyo
reward	padya
student	estudyante
recipe	resipi
gap	lak-ang
reputation	reputasyon
crowd	damo tawo
adventure	pagpasimpalad
complex	pagkasibod
push	tulod
familiar	pamilyar
guys	mga lalaki
climate	klima
bug	buyog
Don't worry	Indi magkabalaka
advertisement	pasayod
equal	tupong
guest	bisita
void	pagkawalay-unod
forbidden	ginadumilian
celebrate	selebrar
drought	tagpiligado
abstract	mabudlay hangpon
circle	bilog
mutual	pareho
soulmate	gintadhana
pure	puro
distance	distansya
preserve	gintago
side	sa kilid
industry	industriya
determination	determinasyon
replace	islan
abandoned	abandona
sunday	dominggo
signature	perma
fur	balahibo
wallet	kahita
weekend	talipuspusan sang semana
farewell	paalam
party	pagtililipon
air	hangin
class	klase
finish	nahuman
maid	suluguon
retain	bilin
wound	pilas
distribution	distribusyon
compare	kompara
sound	tunog
pan	kalaha
blunt	masakit
number	numero
pale	gapalamuti
aesthetic	istitik
pathetic	makaluluoy
luggage	bagahe
she is	sya ay
ruin	guba
paint	pinta
wardrobe	bayuan
public	publiko
burn	nasunog
alive	buhi
enthusiasm	kapagsik
are you married or single	ikaw bala kasal ukon single
stage	entablado
cow	baka
insecure	pagkahisa
emphasis	pat0od
fabulous	matahom
do you	ikaw bala
aggressive	agresibo
bride	kalaslon nga babayi
its	amo to
invite	imbitado
where do you live	diin ka naga istar
surprise	nakibot
mirror	salamin
compliment	dayaw
concrete	kongkreto
accuracy	insakto gid
define	nagakahulugan
prejudice	nagbaskog
forest	kagubatan
pet	alaga
decrease	nagbuhin
wave	balod
feeling	nabatyagan
beside	luwas sa
deaf	bungol
presence	presensya
doing	ginaubra
annual	kada tuig
regards	ginakabig
authentic	masaligan
role	rolyo
collect	kolekta
married	kasal
sought	nagtinguha
overcome	nalampuwasan
skill	lantip
asset	bentaha
debt	utang
block	nagbalag
yellow	dalag
abandon	ginpabay-an
breath	ginahawa
wanted	gusto
operation	operasyon
wedding	kasal
worry	kabalaka
boat	baruto
repeat	liwaton
cuddle	dugsing
contrast	kinatuhayan
delicate	alamligan
peak	tuktok
office	opisina
have a nice day	mayad nga adalw
sibling	bugto
acquisition	pagtipon
postpone	ginpaisol
duck	pato
frustrated	kapaslawan
extension	dugang pa
spin	linbot
delighted	nagkalipay
standard	istandard
insight	ginapinsar
simultaneously	sunodsunod
false	indi matuod
how was your day	kamusta ang imo adlaw
commit	pangako
breed	rasa
manner	pamatasan
master	nagapamuno
example	halimbawa
sheet	papel
freak	buang
rent	renta
serve	serbi
adjective	adhetibo
pool	punong
discover	natukiban
fuel	gatong
helpful	makabulig
associated	naangot sa
used	gingamit
effective	epektibo
take off	ubahon
tried	gintestingan
fetch	magkuha
risk	risgo
particularly	partikular
optimistic	positibo
population	populasyon
your welcome	gina-abiabi ka namon
rescue	tabangan
authority	awtoridad
paid	nabaydan na
likewise	pareho sa imo
garbage	basurahan
lucky	swerte
monday	lunes
location	lokasyon
data	datos
profit	kita
vast	daku
active	aktibo
acquaintance	pag-updanay
trousers	pantalon
emergency	emerhensya
moon	bulan
rinse	hugasan
privilege	pibilehiyo
cake	tinapay
beginning	sa umpisa
quick	maabtik
waiter	manog serbi
ladder	hagdan
first name	una nga ngalan
presentation	presentasyon
brain	utok
horse	kabayo
overwhelming	makabalag-o
advanced	nauna
I like you	Gusto ta ikaw
Saturday	Sabado
choice	ginpili
frame	balayan
seem	tuman
shelf	estante
straw	stro
solid	solido
sort	pagpasunod
organization	organisasyon
surge	pagdamo
equity	pag-alalangay
hang	sab-it
hint	pabatibati
sweetheart	pinalangga
wrap	ginputos
cup	tasa
doctor	doktor
committed	pangako
eyes	mata
register	rehistro
hiking	pagsaka sa bukid
basic	simple
pillow	ulunan
pray	pangadi
fence	bakod
expand	malapad
precise	pagkasibu
analysis	analisar
teeth	unto
friends	mga abyan
steam	alisngaw
well done	natapos sang maayo
birthday	kaadlawan
set up	nagtukod
cry	hibi
breast	dughan
pleased	palihug
sequence	pagpasunod
sugar	kalamay
wicked	malauton
church	simbahan
interview	interbyu
direct	direkta
steady	tayuyon
dust	yab-ok
came	nagkadto
associate	gina-angot
bond	kaangtanan
ought	dapat
suggestion	suhestyon
sale	nagbuhin ang presyo
lot	lupa
healing	pag-ayo
you too	ikaw man
team	grupo
snow	ulan sang ice
tend	masami nga
gossip	chismis
transfer	magsaylo
teach	tudlo
scope	sakop
bathroom	palaliguan
My dear	Akon palangga
collapse	nalipong
religion	relihiyon
get up	magbangon
volume	kataason
liability	salabton
led	nagtuga
favourite	paborito
leaf	dahon
demonstrate	gintudlo
landscape	pabatang
war	inaway
tea	tsaa
last name	ulihi nga nagalan
behave	paghipos
mass	kadamuon
destiny	padulongan
gate	pwerta
key	yabi
neighborhood	piyak balay
prove	pamatuod
mate	upod
owl	uwak
funeral	lubong
inquiry	pamangkot
local	lokal
slide	padausdos
thief	manugtakaw
history	historya
compassion	pagkamaluluyon
remind	pahanumdom
sand	balas
security	sekyuridad
substance	elemento
extent	kasangkaron
sent	napadala na
fork	tinidor
whale	balyena
reached	nalab-ot
bulk	binulto
missing	nadula
scene	sinaryo
endure	agwanta
stretch	pag-untay
bus	bus
art	arte
designation	alagtunan
north	aminhan
whenever	kon
drawing	paglaragway
secret	sekreto
provision	probisyon
end	katapusan
flower	bulak
moderate	haganhagan
cheat	pagtinunto
intermediate	insakto lang
part	parte
deadline	pasahay nga adlaw
defeat	malutos
reading	nagabasa
prosperity	mag-uswagg
surrender	pagsuko
my pleasure	akon kalipayan
crash	pag guba
approve	naprubahan
room	kwarto
origin	ginhalinan
mortgage	renta
eight	walo
bird	pispis
hole	buho
stairs	hagdan
traffic	trapiko
gentle	mahinay
complaint	reklamo
characteristics	karakteristiko
paper	papel
worship	pagdayaw
grind	paghimakas
habit	ulubrahon
youth	kabataan
shop	tindahan
respond	nagbalos
I love you too	Palangga ta man ikaw
hill	bukid
laundry	labahan
exhibition	nagpakita
ghost	kalag
computer	kompyuter
creepy	kaladlukan nga pamatyagan
calf	tinday
idle	kutsokutso
fantastic	kaayo
fellow	abyan
cucumber	atimon
granted	nahatagan
contemporary	komtemporaryo
modern	bag-o
see you	kon magkitaay kita
envelope	sobre
seriously	seryoso
waiting	nagahulat
charming	makagalanyat
flirt	magbiga
slim	maniwang
assumption	haumhaum
evaluation	ebalwasyon
hall	tunga
ankle	bukobuko
convenience	kombinyente
furious	sobra nga naakig
cozy	mahal
stir	lugay
intended	tinituyo para sa
harvest	pag ani
impression	impresyon
milk	gatas
jerk	gago
evaluate	ebalwar
currency	kwarta
year	tuig
told	ginhambal
toward	sa
including	lakip ang
egg	itlog
fresh	presko
victim	biktima
promotion	promosyon
brush	paghusay
line	linya
hold on	dali lang
department	departamento
poop	tae
aid	bulig
typical	tipikal
resilience	mabakod
trace	masumay
sorrow	kasubo
social	sosyal
tension	tensyon
official	opisyal
advise	laygay
garlic	ahos
household	panimalay
compound	kompownd
elbow	siko
raised	ginpatindog
concentrate	konsentrasyon
enter	magsulod
merely	daw pintok lang
redeem	maggawad
topic	topiko
hail	ginadayaw
mountain	bukid
quarter	kuwartel
ex	eks
assembly	pagtilipon
resist	pagbato
trend	bag-o
ingredients	mga sangkap
resources	mga ginhalinan
engine	makina
personality	personalidad
bar	bilangguan
human	tawo
harmful	makahalalit
flexible	pleksibol
flight	paglupad
essay	sulat
chain	kadena
lockdown	hindi makaguwa
embarrassing	kahuluya
reserve	reserba
shout	singgit
route	ruta
suspended	wala nadayon
brand	ngalan
pear	peras
volunteer	boluntir
press	ipiton
reminder	pahanumdom
bend	tikuon
fortune	swerte
inspiration	inspirasyon
what do you do for a living	ano ang imo ubra para mabuhi
swap	baylo
eliminate	dulaon
direction	direksyon
sincerely	sinsero
series	mga serye
ginger	luy-a
suspect	suspek
come on	dali run
insist	ginapilit
outgoing	mainabyanon
knife	kutsilyo
diet	nagapaniwang
brilliant	masanag
couch	pulungkuan
skin	panit
abundant	madamo
snap	madali
grant	ginhatag
section	seksyon
idea	ideya
instance	halimbawa
shell	pakinhason
expert	eksperto
pants	pantalon
scissors	gunting
predict	ginabanabana
persistent	nagapanikasog
incentive	insintibo
sake	tungod
counter	nagabantay
revise	gin islan
nausea	masuka
incident	insidente
angel	anghel
recognition	rekognisyon
moment	momento
got it	nakuha ko
violence	kasingki
supposed	ibutang naton
wash	hugasi
phone	telepono
ball	bola
vision	palanan-awon
revenge	pagbalos
equivalent	katumbas
I am fine	Ok lang ako
efficiency	epektibo
trail	alagyan
modest	disente
consistency	regular
elegant	elegante
bath	maligo
rip	gin gisi
passionate	kaibog
motivation	motibasyon
seen	nakita
slave	suluguon
simp	gusto gid
twice	ikaduha
kiss	halok
honor	padunggan
caption	kapsyon
clue	ideya
never give up	hindi magsuko
injured	bari
neglect	ginsikway
sober	naumpawan
pledge	nagsumpa
dish	pinggan
chin	sag-ang
flu	hilanat
how was your night	kamusta ang imo gab-i
guy	lalaki
item	aytem
curfew	tagpululi
awake	bugtaw
earlier	kaina
swear	nagapanumpa
relate	natuhoy
grocery	groseri
annoyed	kailinit
nowadays	subong nga tion
site	lugar
pair	pares
peach	peras
broad	malapad
rock	bato
likely	parehos
extraordinary	tumalagsahon
gradually	amat-amat
net	pukot
no way	indi gid
kindness	kalulo
fruit	prutas
float	nagalutaw
kite	burador
rubbish	basyra
goes	nagkadto
retrieve	nabalik
affordable	makaya sang bulsa
note	nasambit
pilot	piloto
practical	praktikal
exclusive	eksklusibo
diverse	lainlain
stable	estable
dismiss	maghalin
wool	bulbol
financial	pinansyal
are you busy	damo ka sang naubra
naive	mapinatihom
hood	kalo
surgery	operahan
virgin	birhen
destroy	gubaon
reasonable	rasonable
symptoms	sintomas
employer	gina-ubrahan
project	proyekto
duration	kalawidon
senior	senyor
retention	pagpabilin
curse	sumpa
spoon	kutsara
vessel	suludlan
star	bitoon
meant	ginatuyo
inventory	inbentori
pregnant	gabusong
cloud	gall-um
personal	personal
seat	purungkuan
towel	tuwalya
province	probinsya
addition	dugang sa
I miss you so much	Nahidlaw dun ako kanimo
manifest	nagpadayag
stem	sanga
director	direktor
absent	indi makita
horrible	horible
wheel	gulong
cluster	klaster
empathy	empatiya
composition	komposisyon
certificate	sertipiko
original	orihinal
bid	presyo
friday	byernes
context	konteksto
ultimate	ultimo
strive	panikasug
fewer	mas diutay
hospital	ospital
vary	nagadepende
withdrawal	widrowal
verify	pamatud-an
bachelor	kurso
writing	nagasulat
yes dear	huo, palangga
campaign	kampanya
impossible	imposible
criteria	krayterya
control	kontrol
disguise	pakunokuno
remaining	nabilin
bully	nagapangdaugdaug
facility	pasilidad
giant	higante
park	parke
redemption	redemsyon
novel	nobela
ago	sang una
venue	lugar
income	kita
I don't	Indi ako
gonna	nga
onion	bumbay
peaceful	malinong
cope	atubangon
affection	ginapalangga
sky	langit
identity	makilala
yourself	ikaw
shrink	madunot
thoroughly	sing maayo
coffee	kape
graduate	gradwar
storm	bagyo
lap	batiis
safety	kaluwasan
storage	talaguan
loyalty	loyalidad
toilet	kasilyas
magnificent	halangdon
pond	punong
painting	pinta
substitute	bulos
sincere	sinsero
growth	pagdako
sunshine	kasanag
pin	sibit
rid	isikway
clingy	magsunodsunod
gave	hatag
trap	napriso
tissue	tisyu
pink	duag rosa
benefits	benepisyo
band	banda
advocate	sumalakdag
bay	bey
emphasize	ginapat-od
normal	kinaandan
season	tyempo
client	kliyente
crisis	krisis
aisle	alagyan
hang out	mag-guwa
get well soon	magpaayo ka
exceed	magsobra
welfare	kaayuhan
cereal	uyas
next to	sunod sa
superior	superyor
mud	lao
intend	tinutuyo
cabbage	repolyo
monitor	ginatan-aw
excuse	paagiha
stove	pugon
resistance	nagapamatok
living	nagaistar
stranger	indi kilala nga tawo
began	maumpisa
disabled	imbalido
illness	mmay sakit
versatile	madamo sang kapuslanan
drag	isayluhon
theme	tema
architect	arkitek
reverse	baliskadon
machine	makina
contribution	kontribusyon
pencil	lapis
fold	pilikon
loop	siklo
intimate	kasuod
cloudy	magal-um
policy	polisiya
scarf	skarp
dispatch	ginpadala
inconvenience	kabudlayan
violent	mapintas
that's good	maayo ina
chief	hepe
secure	sekyur
sat	pungko
warehouse	bodega
medium	medyo
king	hari
sweater	sambra
seizure	kombulsyon
log	troso
prey	kalan-on
coast	baybay
foster	amay-amay
sweat	balhas
belt	paha
orientation	oryentasyon
creep	nagakamang
taken	nakuha
dairy	lista adlawan
hobby	gusto nga ubra
kidney	batobato
colleagues	mga kaupod
groom	kalaslon nga laki
constantly	permi
entrance	entrans
exception	luwas sa
music	musika
grasp	paghangop
labor	ubra
leap	nagtumpo
hop	tumbo
grey	abo
nationality	nasyonalidad
hostile	kapintas
refrigerator	ref
additional	dugang pa nga
mystery	nisteryo
reject	wala nabaton
thunder	daguob
rat	daga
beer	serbesa
perceive	nakita
oven	pugon
deliver	deliber
vintage	dinumaan
wealthy	manggad
spectacular	makawiwili
crawl	kamang
score	iscore
load	butangan
gear	kambyo
tremendous	tuman nga
getting	makuha
I think	Napinsaran ko
bark	taghol
communicate	mag-istorya
password	password
self	kaugalingon
shot	tiro
sore throat	sakit nga tubog
five	lima
rigid	mapiguson
sensible	mahinantupon
beauty	gwapa
size	kadakuon
ruler	sulukol
lock	lak
yard	yarda
ice	yelo
useless	wala pulos
eye	mata
juice	ilimnon
translate	badbad
clay	daga
ocean	baybay
formal	pormal
crack	litik
roast	tusta
exposed	ginpakita
it was	amo to
gold	bulawan
hour	oras
guarantee	garatiya
via	paagi sa
chemistry	kemestri
slip	nadanlog
litter	sagbot
divine	balaan
so cute	tuman ka kyut
addicted	na adik
cattle	baka
approval	gin aprobahan
quotation	kotasyon
mute	gindula nga sound
energy	enerhiya
depressed	depres
coward	talaw
legal	ligal
sunset	pagpanaog sang adlaw
sweep	ginslihig
phenomenon	paniempo
find out	makita ang
comparison	komparar
assets	bentaha
coincidence	na tyempohan
session	sesyon
examine	eksamin
lower	manubo
batch	kaupod
instant	gilayon
tonight	subong nga gab-i
frequency	kasunson
pork	baboy
excessive	sobra
competitive	indi magpaperdi
ashamed	nahuya
sleeve	pako sang bayo
anticipate	nalauman
coming	matabo
abundance	bugana
trick	daya
leak	naglapta
hectic	madamo sang ulubrahon
rope	higot
stiff	matig-a
garden	hardin
screw	tornilyo
excess	sobra
exhibit	ginapakita nga mga ubra
hidden	natago
nearby	malapit
crime	krimen
as well	pati ang
themselves	ang kaugalingon nila
queen	reyna
gloves	gwantes
possessive	gapanag-iya
squeeze	dunuton
grave	lulubngan
windy	mahangin
sail	malayag
speed	kadasigon
invalid	indi pwede
existing	yara nga nga daan
released	ginpaguwa
struck	naigo
rage	kataason
For example	Halimbawa
parcel	pinutos
grumpy	naga ugot
scenery	talan-awon
bro	meg
as well as	amo man ang
cash	kwarta
running	nagadalagan
ego	bugal
activity	aktibidad
prone	mahuyog
artificial	artipisyal
caution	nagapaandam
island	isla
divide	tungaon
spicy	makahang
good morning my love	mayad nga aga palangga ko
hollow	buho
provided	nagahatag
witch	aswang
remarkable	indi malipatan
injury	bari
pursuit	handum
gauge	ginatakos
corner	sa gilid
discrimination	diskriminasyon
hub	sentro
virtue	pagkatadlong
approved	naaprubahan
ratio	proporsyon
who is	amo ang
sustain	sustenar
outfit	bayo
peer	abyan
peculiar	kahun-og
base	pasad
loss	nadula
miscellaneous	iban pa nga balayran
category	kategorya
tease	sunlog
a lot	madamo
century	ginatos
worn	ginsuksok
capture	nakuha sa camera
pack	putuson
carefully	mahinay
interaction	interaksyon
adjacent	kaiping
consciousness	hinalung-ong
caring	pagtatap
thumb	kamumuo
behaviour	batasan
phrase	dinalan
how many	pila kabilog
shine	nagasanag
alert	alerto
noon	Ugto adlaw
fundamental	Panguna
foundation	Pundasyon
setting	Seting
unit	pangsukol
vendor	manogbaligya
innovation	inobasyon
figure out	mahibaluan
squirrel	squirrel
bake	magbake
combination	kombinbasyon
tears	mga luha
working	naga ubra
rash	pantal
apartment	apartamento
routine	hilikuton
recovery	recoberi
perseverance	nagapadayon
attachment	kaangtanan
Hmm	Hmmm
color	kolor
tour	paglagaw
anchor	angkor
bank	bangko
toes	tiil
comfort	comport
investigate	imbestigar
shore	baybay
assistant	kabulig
attract	makaganyat
rules	paggahom
comb	husay
controversial	kontrobersyal
details	mga detalye
curtain	kurtina
satisfaction	kaayawan
fluent	talunsay
broadcast	brodkast
extra	ekstra
cherish	ginapalangga
difference	pagkalainlain
box	kahon
agent	ahente
story	istorya
anger	kaugot
text	teks
massive	madamo gid
redundant	paliwatliwat
wearing	nagasuksok
contagious	makalalaton
enemy	kaaway
agreement	gin-istoryahan
experiment	eksperimento
assertive	nagapamilit
farm	uma
I don’t understand	Indi ako kaintindi
warning	paandam
adopt	gin-adap
dishes	mga pinggan
hook	kaw-it
song	kanta
root	ugat
discount	buhin
marriage	kasal
advertising	nagapasayod
that is	amo ang
nobody	wala sang bisan sin-o
beast	sapat
arrangement	mahimo sang kahimusan
shoot	ginshut
go ahead	lakat na
buried	ginlubong
I don't understand you	Indi ta ikaw maintindihan
wine	alak
reservation	reserbasyon
museum	museyo
sample	halimbawa
cancer	kanser
restore	ibalik
snake	sawa
instructions	mga instruksyon
rule	gamhan
wire	wayr
succeed	madinalag-od
anyone	bisan sin-o
third	pangatlo
debate	binaisay
group	grupo
nine	syam
conservative	konserbatibo
noted	nasambit
drill	ensayo
twenty	baynte
craft	ukitan
such as	pareho sang
broke	nabuka
affair	kabet
comment	komento
courtesy	pagtahod
based	ginbase
cognitive	paminsaron
thoughts	paminsaron
march	marso
occupied	okupado
tasty	saburoso
apart	layuay
rapid	madasig
gesture	hulag
completely	kumpleto
consume	makaon
bottle	botilya
majority	kadam-an
inspire	inspirado
right now	subong
discussion	diskusyon
extract	magkuha
coming soon	maabot sa di magdugay
pupil	bata
struggling	kabudlay
insult	insulto
metal	Salsalun
Hi there	Kamusta ka
genre	sahi sang musika
step	tikang
recall	tawag liwat
layout	plano
dope	astig
wanna	gusto
forgive	patawad
happen	matabo
not at all	indi tanan
I want to see you	Gusto ta ikaw makita
explanation	eksplinasyon
extinct	kalaglagan
everybody	ang tanan
commission	komisyon
accent	aksent
reflect	pagbinagbinag
relatives	mga paryentee
lamp	suga
doll	manika
file	rekord
platform	plataporma
clerk	klerk
sage	maalamon
nearly	lapit na lang
soccer	saker
heist	pagpangholdap
greed	pagkadalok
thorough	maidid
entitled	natig-ulohan
possess	ginapanag-iyahan
glance	pasiplat
turkey	pabo
interrupt	awat
factory	paktorya
myself	akon kaugalingon
decade	dekada
dance	saot
association	asosasyon
bench	pulungkuan
interpret	pag-intindi
error	kalautan
twelve	dose
how about you	kamusta man ikaw
indigenous	tumandok
relieved	nahaw-asan
fade	ga amat-amat dula
pig	baboy
cunning	malimbungan
bunch	pungpong
discharge	ginpaguwa
wrath	kasingkal
option	opsyon
flag	plag
won	nagdaog
lounge	hulut-tulugan
crow	pagpamalo sang manok
elderly	tigulang
pervert	manyak
reception	resepsyon
total	kabilogan
generation	henerasyon
feather	bulbol
outcome	resulta
silver	pilak
shut	saradhan
sunny	maadlaw
expose	ginpakita
vacuum	nagasuyop
luxury	mahal
extended	ginpalaba
tentative	indi permanente
epic	epiko
stone	bato
dedication	dedikasyon
utility	tinawo
bike	bisekleta
childhood	magkababata
what's up	kamusta
soap	habon
system	sistema
You know	Bal-an mo man
delayed	naulihu
tense	tensyon
online	online
goose	gansa
production	produksyon
umbrella	payong
estimated	ginabanabana
preparation	preparasyon
suffering	pag antos
passage	alagyan
button	buton
wage	sweldo
nerd	tawo nga maalam
fighting	pakigbato
I love	Palangga ko
nail	kuko
call me	tawgi ako
pronunciation	pagsambit
facilitate	magapahapos
model	modelo
dying	tagumatayon
permit	permiso
package	pakete
words	mga tinaga
leader	lider
mouse	giting
January	Enero
video	bidyo
chocolate	chokolate
interfere	nag awat
jacket	jaket
ambition	ambisyon
truck	trak
gathering	pagtililipon
shrimp	hipon
steel	stil
nut	mani
glasses	antipara
fashion	pamayo
architecture	arkitektura
debris	mga guba
dough	linamas nga tinapay
resilient	mabakod
tent	tolda
tag	presyo
fiction	indi matuod
spontaneous	sunodsunod
tuition	balayran sa eskwelahan
curiosity	makapukaw atensyon
eraser	manog pana
shake	lunggungon
mentor	manogtudlo
strategy	stratehiya
valley	nalupyakan
tool	kagamitan
query	pamangkot
tackle	ginistoryahan
there are	may yara
kick	sipa
mercy	kaluoy
screen	iskrin
butterfly	alibangbang
justice	pagkamatarong
pepper	katumbal
homework	asaynment
movement	mga hulag
consist	may lakip
shadow	anino
It's okay	Ok lang ina
rabbit	kuneho
latter	ang ulihi
delight	nagakalipay
fairly	parehos
despair	mahanusbo
garage	garahe
jar	tibod
cheek	yahun
employment	ubra
crown	korona
prison	presuhan
became	nangin
lesson	leksyon
quarrel	ilinaway
coal	uring
princess	prinsesa
sightseeing	nagalantaw lantaw
strawberry	stroberi
swim	langoy
grip	pag-uyat
I do	Gusto ko
profound	daku nga epekto
laid	nagbutang
entity	ahensya
confess	magsugig
mold	molde
devil	yawa
cruise	panakayon
anymore	asta san-o
award	premyo
gym	gym
grain	uyas
see you soon	makitaay kita lapit na lang
list	lista
vegetables	gulay
six	anom
prime	panguna
ideal	ideya
panic	panik
boundaries	mga limitasyon
learning	nagatuon
habitat	ilistaran
assist	nagabulig
how is	paano ang
destruction	pag guba
level	lebel
mingle	mag-istorya
torn	dugi
miracle	mirakulo
mole	alom
guard	gwardya
arrival	pag abot
window	bintana
oil	langis
gray	abo
tenant	manog bantay
intellectual	may kaalam
swag	astig
nightmare	makakulugmat
steak	steak
latest	pinakabag-o
game	hampang
emotional	emosyonal
ditch	wala nagkadto
I’m	Ako
queer	lain
make up	pampagwapa
premises	lugar
accomplished	natapos
university	unibersidad
see you later	makitaay kita lapit na lang
endangered	katalagman
copper	saway
absence	wala sang presensya
payment	pagbayad
parrot	parot
recover	nakarecover
goo	sip-on
grid	kurit
conquer	madaug
crop	ginutod
link	link
belly	busong
seven	pito
supervisor	superbisor
beans	mga balatong
thoughtful	panghunahuna
ripe	dunot
poison	lason
tooth	unto
joke	jowk
instrument	instrumento
be careful	maghalong
socks	mga medyas
resort	balakasyunan
observation	obserbasyon
invitation	imbitasyon
cycle	siklo
depend	depende
toddler	bata gamay
exam	eksam
adapt	adap
labour	pagtrabaho
melt	natunaw
resolve	nasolbar
scream	singgit
mental	paminsaron
disable	ginpatay
resident	tumandok
trait	ugali
column	kolumna
each other	kada isa
boil	magbukal
vinegar	suka
restrict	ginabawalan
blend	magsamo
lives	mga kabuhi
wipe	punasan
corn	mais
craving	ginapangita sang ginhawa
carpet	alpombra
edit	edisyon
customs	mga kinabatasan
gloomy	maguum
moral	moralidad
greetings	pagtamyaw
crap	basura
swimming	maglangoy
lies	kabutigan
castle	kastilyo
phase	bahin
attribute	kinaiya
torture	usok
mentioned	ginsambit
concert	konsierto
june	hunyo
divorce	pagbulaganay
in front of	sa atubangan sang
feast	sinalusalo
agriculture	agrikultura
studying	pagtuon
built	natukod
compete	pag kompetensia
swelling	nagahubag
existence	pagluntad
ok honey	ok palangga
damp	humog
merry christmas	malipayon nga paskwa
disposal	paghaboy
delete	ginpanas
illegal	ginadumilian
curly	kulong
police	pulis
vertical	patindog
properties	mga propriedad
hazard	katalagman
cell	selula
extreme	daku gid
snack	pamahaw
breach	bulho
developed	pagpauswag
lion	leon
convert	nagsaylo
layer	bahin
chat	mag-istoryahanay
yeast	lebadura
punctual	maaga nga pag-abot
opportunities	kahigayunan
drawer	hunoshunos
obsolete	dulot
domain	duog
nor	indi
carrot	karot
inform	magpahibalo
won't	indi
comply	magsunod
plumber	tubero
bone	tulan
trauma	kahuol
yes of course	huo, syempre
shopping	pagpamalaklon
roll	nagaligid
diary	lista-adlawan
refrain	maglikaw
lately	sang nagligad
finished	nahuman
silk	seda
chubby	matambok
bee	buyog
venture	makahason
collection	koleksion
worm	ulod
sacred	sagrado
necklace	kulintas
motion	magpainpain
scattered	nag-aplaag
hours	oras
chart	tsart
careless	pagpatumbaya
carry out	ginpatuman
palm	palad
grapes	ubas
decay	nagakadunot
generally	nagahilisugot
cautious	mainamdamon
command	sugo
robust	mapagros
haze	aso
wolf	lobo
glimpse	pagsiplat
pit	lungib
exploit	hingalitan
belief	pagpati
frog	paka
bicycle	bisikleta
technology	teknolohiya
sword	espada
border	dulunan
appetite	kailigbon
deed	buhat
remedy	malubad
viral	sikat
pineapple	pinya
wake	bugtaw
strip	ubas
super	pwerte
denied	ginpanghiwala
cease	untat
scientist	sientipiko
resign	naghalin
hopefully	kabay unta
tube	tubo
cotton	koton
fixed	gin kay-o
devoted	debosyon
carry on	nagapadayon
greet	pagtamyaw
afterwards	pagkatapos
starving	ginagutom
excitement	kalangkag
streak	paagisod
conference	komperensia
seed	binhi
amid	sa tunga
mostly	kalabanan
mug	tasa
beloved	hinigugma
visual	mahanduraw
hello how are you doing	hello, kamusta kana
regularly	sing tayuyon
what is your job	ano imo ubra
in addition	dugang pa sa
finance	pundo
tools	gamit
steep	mataas
spent	naggasto
connect	kaangot
knew	nahibaluan
density	kadamulon
nest	pugad
accused	ginpasibangdan
stain	mansa
delivered	gin dul-ong
ceremony	seremonya
execute	pagpatuman
internship	pag-ubra
shortage	kakulang
banana	saging
junk	basura
president	presidente
blast	paglupok
transparent	masinaw
neighbor	isigkatawo
it's	ini
attach	ginaangot
Google	google
weakness	kaluyahon
ran	nagdalagan
pumpkin	kalabasa
known	kilala
actual	aktuwal
ice cream	sorbete
premium	limitado
manual	pangamot
sassy	astig
kinda	daw
sigh	panghayhay
clown	komikero
photo	retrato
forgot	nalipat
mobile	telepono
diligent	mapisan
bliss	kalipay
suitcase	maleta
neutral	walay nadampigan
assault	pagsalakay
spoiled	pan-os
a little	gamay
interact	makig angot
cave	kueba
joint	lutalutahan
station	estasyon
sympathy	simpatiya
contest	paindis-indis
deceive	ginlimbungan
profession	propesyon
villain	kontrabida
beverage	ilimnon
yummy	manamit
living room	salas
acute	daku gid
style	estilo
highlight	napatalupangod
movie	pelikula
complement	apresasyon
retired	nagretiro
endurance	nagabatas
fought	nakig-away
render	ginabadbad
thrilled	nakunyag
ambiguous	indi maathag
prank	tinarso
mice	ilaga
died	napatay
endeavor	nagapanikasog
infinity	wala katapusan
soup	sabaw
tips	tip
dentist	dentista
seems	daw
angle	anggulo
preference	mga luyag
bounce	umpok
seize	pagdakop
etc	iban pa
tolerance	kahilwayan
basement	pinaka maidalom
plum	sirgwelas
obstacle	balagbag
silent	mahipos
mist	gal-um
paradise	paraiso
eternal	dayon
revealed	ginpahayag
inflation	implasyon
mindset	oaminsaron
attendance	tumalambong
congratulation	pagpanginbulahan
herd	panong
depth	madalom
bucket	balde
evolution	ebolusyon
turtle	pawikan
upgrade	pag uswag
occurred	natabo
version	bersion
terrific	tumalagsahon
stall	tapangko
image	larawan
theory	teoriya
ok dear	ok palangga
nuisance	makaulugot
comprehension	paghangop
foolish	kabuangan
select	pili
activities	mga aktibidades
horn	busina
market	merkado
announcement	mga pahibalo
rational	makatarunganon
understood	mahangpan
optional	pagusto lang
dominant	nagapangibabaw
to be	nga
humidity	kahun-og
bundle	pinutos
hips	balikawang
jump	lumpat
kidding	lang-lango lang
emerge	pagguwa
compatible	magkabagay
