Hiligaynon,English
Nagahulat ako sa tindahan.,I am waiting at the store.
Ara ako sa tindahan.,I am at the store.
Nagalakat ako pakadto sa tindahan.,I am walking toward the store.
Nagakadto ako sa simbahan.,I am going to the church.
Nagahulat ako sa simbahan.,I am waiting at the church.
Ara ako sa simbahan.,I am at the church.
Nagalakat ako pakadto sa simbahan.,I am walking toward the church.
Nagakadto ako sa ospital.,I am going to the hospital.
Nagahulat ako sa ospital.,I am waiting at the hospital.
Ara ako sa ospital.,I am at the hospital.
Nagalakat ako pakadto sa ospital.,I am walking toward the hospital.
Nagakadto ako sa terminal.,I am going to the terminal.
Nagahulat ako sa terminal.,I am waiting at the terminal.
Ara ako sa terminal.,I am at the terminal.
Nagalakat ako pakadto sa terminal.,I am walking toward the terminal.
Nagakadto ako sa library.,I am going to the library.
Nagahulat ako sa library.,I am waiting at the library.
Ara ako sa library.,I am at the library.
Nagalakat ako pakadto sa library.,I am walking toward the library.
Nagakadto ako sa banwa.,I am going to the town.
Nagahulat ako sa banwa.,I am waiting at the town.
Ara ako sa banwa.,I am at the town.
Nagalakat ako pakadto sa banwa.,I am walking toward the town.
Nagakadto ka sa eskwelahan.,You are going to the school.
Nagahulat ka sa eskwelahan.,You are waiting at the school.
Ara ka sa eskwelahan.,You are at the school.
Nagalakat ka pakadto sa eskwelahan.,You are walking toward the school.
Nagakadto ka sa balay.,You are going to the house.
Nagahulat ka sa balay.,You are waiting at the house.
Ara ka sa balay.,You are at the house.
Nagalakat ka pakadto sa balay.,You are walking toward the house.
Nagakadto ka sa merkado.,You are going to the market.
Nagahulat ka sa merkado.,You are waiting at the market.
Ara ka sa merkado.,You are at the market.
Nagalakat ka pakadto sa merkado.,You are walking toward the market.
Nagakadto ka sa kusina.,You are going to the kitchen.
Nagahulat ka sa kusina.,You are waiting at the kitchen.
Ara ka sa kusina.,You are at the kitchen.
Nagalakat ka pakadto sa kusina.,You are walking toward the kitchen.
Nagakadto ka sa kwarto.,You are going to the room.
Nagahulat ka sa kwarto.,You are waiting at the room.
Ara ka sa kwarto.,You are at the room.
Nagalakat ka pakadto sa kwarto.,You are walking toward the room.
Nagakadto ka sa opisina.,You are going to the office.
Nagahulat ka sa opisina.,You are waiting at the office.
Ara ka sa opisina.,You are at the office.
Nagalakat ka pakadto sa opisina.,You are walking toward the office.
Nagakadto ka sa plaza.,You are going to the plaza.
Nagahulat ka sa plaza.,You are waiting at the plaza.
Ara ka sa plaza.,You are at the plaza.
Nagalakat ka pakadto sa plaza.,You are walking toward the plaza.
Nagakadto ka sa baybay.,You are going to the beach.
Nagahulat ka sa baybay.,You are waiting at the beach.
Ara ka sa baybay.,You are at the beach.
Nagalakat ka pakadto sa baybay.,You are walking toward the beach.
Nagakadto ka sa hardin.,You are going to the garden.
Nagahulat ka sa hardin.,You are waiting at the garden.
Ara ka sa hardin.,You are at the garden.
Nagalakat ka pakadto sa hardin.,You are walking toward the garden.
Nagakadto ka sa tindahan.,You are going to the store.
Nagahulat ka sa tindahan.,You are waiting at the store.
Ara ka sa tindahan.,You are at the store.
Nagalakat ka pakadto sa tindahan.,You are walking toward the store.
Nagakadto ka sa simbahan.,You are going to the church.
Nagahulat ka sa simbahan.,You are waiting at the church.
Ara ka sa simbahan.,You are at the church.
Nagalakat ka pakadto sa simbahan.,You are walking toward the church.
Nagakadto ka sa ospital.,You are going to the hospital.
Nagahulat ka sa ospital.,You are waiting at the hospital.
Ara ka sa ospital.,You are at the hospital.
Nagalakat ka pakadto sa ospital.,You are walking toward the hospital.
Nagakadto ka sa terminal.,You are going to the terminal.
Nagahulat ka sa terminal.,You are waiting at the terminal.
Ara ka sa terminal.,You are at the terminal.
Nagalakat ka pakadto sa terminal.,You are walking toward the terminal.
Nagakadto ka sa library.,You are going to the library.
Nagahulat ka sa library.,You are waiting at the library.
Ara ka sa library.,You are at the library.
Nagalakat ka pakadto sa library.,You are walking toward the library.
Nagakadto ka sa banwa.,You are going to the town.
Nagahulat ka sa banwa.,You are waiting at the town.
Ara ka sa banwa.,You are at the town.
Nagalakat ka pakadto sa banwa.,You are walking toward the town.
Nagakadto sia sa eskwelahan.,He/She is going to the school.
Nagahulat sia sa eskwelahan.,He/She is waiting at the school.
Ara sia sa eskwelahan.,He/She is at the school.
Nagalakat sia pakadto sa eskwelahan.,He/She is walking toward the school.
Nagakadto sia sa balay.,He/She is going to the house.
Nagahulat sia sa balay.,He/She is waiting at the house.
Ara sia sa balay.,He/She is at the house.
Nagalakat sia pakadto sa balay.,He/She is walking toward the house.
Nagakadto sia sa merkado.,He/She is going to the market.
Nagahulat sia sa merkado.,He/She is waiting at the market.
Ara sia sa merkado.,He/She is at the market.
Nagalakat sia pakadto sa merkado.,He/She is walking toward the market.
Nagakadto sia sa kusina.,He/She is going to the kitchen.
Nagahulat sia sa kusina.,He/She is waiting at the kitchen.
Ara sia sa kusina.,He/She is at the kitchen.
Nagalakat sia pakadto sa kusina.,He/She is walking toward the kitchen.
Nagakadto sia sa kwarto.,He/She is going to the room.
Nagahulat sia sa kwarto.,He/She is waiting at the room.
Ara sia sa kwarto.,He/She is at the room.
Nagalakat sia pakadto sa kwarto.,He/She is walking toward the room.
Nagakadto sia sa opisina.,He/She is going to the office.
Nagahulat sia sa opisina.,He/She is waiting at the office.
Ara sia sa opisina.,He/She is at the office.
Nagalakat sia pakadto sa opisina.,He/She is walking toward the office.
Nagakadto sia sa plaza.,He/She is going to the plaza.
Nagahulat sia sa plaza.,He/She is waiting at the plaza.
Ara sia sa plaza.,He/She is at the plaza.
Nagalakat sia pakadto sa plaza.,He/She is walking toward the plaza.
Nagakadto sia sa baybay.,He/She is going to the beach.
Nagahulat sia sa baybay.,He/She is waiting at the beach.
Ara sia sa baybay.,He/She is at the beach.
Nagalakat sia pakadto sa baybay.,He/She is walking toward the beach.
Nagakadto sia sa hardin.,He/She is going to the garden.
Nagahulat sia sa hardin.,He/She is waiting at the garden.
Ara sia sa hardin.,He/She is at the garden.
Nagalakat sia pakadto sa hardin.,He/She is walking toward the garden.
Nagakadto sia sa tindahan.,He/She is going to the store.
Nagahulat sia sa tindahan.,He/She is waiting at the store.
Ara sia sa tindahan.,He/She is at the store.
Nagalakat sia pakadto sa tindahan.,He/She is walking toward the store.
Nagakadto sia sa simbahan.,He/She is going to the church.
Nagahulat sia sa simbahan.,He/She is waiting at the church.
Ara sia sa simbahan.,He/She is at the church.
Nagalakat sia pakadto sa simbahan.,He/She is walking toward the church.
Nagakadto sia sa ospital.,He/She is going to the hospital.
Nagahulat sia sa ospital.,He/She is waiting at the hospital.
Ara sia sa ospital.,He/She is at the hospital.
Nagalakat sia pakadto sa ospital.,He/She is walking toward the hospital.
Nagakadto sia sa terminal.,He/She is going to the terminal.
Nagahulat sia sa terminal.,He/She is waiting at the terminal.
Ara sia sa terminal.,He/She is at the terminal.
Nagalakat sia pakadto sa terminal.,He/She is walking toward the terminal.
Nagakadto sia sa library.,He/She is going to the library.
Nagahulat sia sa library.,He/She is waiting at the library.
Ara sia sa library.,He/She is at the library.
Nagalakat sia pakadto sa library.,He/She is walking toward the library.
Nagakadto sia sa banwa.,He/She is going to the town.
Nagahulat sia sa banwa.,He/She is waiting at the town.
Ara sia sa banwa.,He/She is at the town.
Nagalakat sia pakadto sa banwa.,He/She is walking toward the town.
Nagakadto kami sa eskwelahan.,We are going to the school.
Nagahulat kami sa eskwelahan.,We are waiting at the school.
Ara kami sa eskwelahan.,We are at the school.
Nagalakat kami pakadto sa eskwelahan.,We are walking toward the school.
Nagakadto kami sa balay.,We are going to the house.
Nagahulat kami sa balay.,We are waiting at the house.
Ara kami sa balay.,We are at the house.
Nagalakat kami pakadto sa balay.,We are walking toward the house.
Nagakadto kami sa merkado.,We are going to the market.
Nagahulat kami sa merkado.,We are waiting at the market.
Ara kami sa merkado.,We are at the market.
Nagalakat kami pakadto sa merkado.,We are walking toward the market.
Nagakadto kami sa kusina.,We are going to the kitchen.
Nagahulat kami sa kusina.,We are waiting at the kitchen.
Ara kami sa kusina.,We are at the kitchen.
Nagalakat kami pakadto sa kusina.,We are walking toward the kitchen.
Nagakadto kami sa kwarto.,We are going to the room.
Nagahulat kami sa kwarto.,We are waiting at the room.
Ara kami sa kwarto.,We are at the room.
Nagalakat kami pakadto sa kwarto.,We are walking toward the room.
Nagakadto kami sa opisina.,We are going to the office.
Nagahulat kami sa opisina.,We are waiting at the office.
Ara kami sa opisina.,We are at the office.
Nagalakat kami pakadto sa opisina.,We are walking toward the office.
Nagakadto kami sa plaza.,We are going to the plaza.
Nagahulat kami sa plaza.,We are waiting at the plaza.
Ara kami sa plaza.,We are at the plaza.
Nagalakat kami pakadto sa plaza.,We are walking toward the plaza.
Nagakadto kami sa baybay.,We are going to the beach.
Nagahulat kami sa baybay.,We are waiting at the beach.
Ara kami sa baybay.,We are at the beach.
Nagalakat kami pakadto sa baybay.,We are walking toward the beach.
Nagakadto kami sa hardin.,We are going to the garden.
Nagahulat kami sa hardin.,We are waiting at the garden.
Ara kami sa hardin.,We are at the garden.
Nagalakat kami pakadto sa hardin.,We are walking toward the garden.
Nagakadto kami sa tindahan.,We are going to the store.
Nagahulat kami sa tindahan.,We are waiting at the store.
Ara kami sa tindahan.,We are at the store.
Nagalakat kami pakadto sa tindahan.,We are walking toward the store.
Nagakadto kami sa simbahan.,We are going to the church.
Nagahulat kami sa simbahan.,We are waiting at the church.
Ara kami sa simbahan.,We are at the church.
Nagalakat kami pakadto sa simbahan.,We are walking toward the church.
Nagakadto kami sa ospital.,We are going to the hospital.
Nagahulat kami sa ospital.,We are waiting at the hospital.
Ara kami sa ospital.,We are at the hospital.
Nagalakat kami pakadto sa ospital.,We are walking toward the hospital.
Nagakadto kami sa terminal.,We are going to the terminal.
Nagahulat kami sa terminal.,We are waiting at the terminal.
Ara kami sa terminal.,We are at the terminal.
Nagalakat kami pakadto sa terminal.,We are walking toward the terminal.
Nagakadto kami sa library.,We are going to the library.
Nagahulat kami sa library.,We are waiting at the library.
Ara kami sa library.,We are at the library.
Nagalakat kami pakadto sa library.,We are walking toward the library.
Nagakadto kami sa banwa.,We are going to the town.
Nagahulat kami sa banwa.,We are waiting at the town.
Ara kami sa banwa.,We are at the town.
Nagalakat kami pakadto sa banwa.,We are walking toward the town.
Nagakadto kamo sa eskwelahan.,You are going to the school.
Nagahulat kamo sa eskwelahan.,You are waiting at the school.
Ara kamo sa eskwelahan.,You are at the school.
Nagalakat kamo pakadto sa eskwelahan.,You are walking toward the school.
Nagakadto kamo sa balay.,You are going to the house.
Nagahulat kamo sa balay.,You are waiting at the house.
Ara kamo sa balay.,You are at the house.
Nagalakat kamo pakadto sa balay.,You are walking toward the house.
Nagakadto kamo sa merkado.,You are going to the market.
Nagahulat kamo sa merkado.,You are waiting at the market.
Ara kamo sa merkado.,You are at the market.
Nagalakat kamo pakadto sa merkado.,You are walking toward the market.
Nagakadto kamo sa kusina.,You are going to the kitchen.
Nagahulat kamo sa kusina.,You are waiting at the kitchen.
Ara kamo sa kusina.,You are at the kitchen.
Nagalakat kamo pakadto sa kusina.,You are walking toward the kitchen.
Nagakadto kamo sa kwarto.,You are going to the room.
Nagahulat kamo sa kwarto.,You are waiting at the room.
Ara kamo sa kwarto.,You are at the room.
Nagalakat kamo pakadto sa kwarto.,You are walking toward the room.
Nagakadto kamo sa opisina.,You are going to the office.
Nagahulat kamo sa opisina.,You are waiting at the office.
Ara kamo sa opisina.,You are at the office.
Nagalakat kamo pakadto sa opisina.,You are walking toward the office.
Nagakadto kamo sa plaza.,You are going to the plaza.
Nagahulat kamo sa plaza.,You are waiting at the plaza.
Ara kamo sa plaza.,You are at the plaza.
Nagalakat kamo pakadto sa plaza.,You are walking toward the plaza.
Nagakadto kamo sa baybay.,You are going to the beach.
Nagahulat kamo sa baybay.,You are waiting at the beach.
Ara kamo sa baybay.,You are at the beach.
Nagalakat kamo pakadto sa baybay.,You are walking toward the beach.
Nagakadto kamo sa hardin.,You are going to the garden.
Nagahulat kamo sa hardin.,You are waiting at the garden.
Ara kamo sa hardin.,You are at the garden.
Nagalakat kamo pakadto sa hardin.,You are walking toward the garden.
Nagakadto kamo sa tindahan.,You are going to the store.
Nagahulat kamo sa tindahan.,You are waiting at the store.
Ara kamo sa tindahan.,You are at the store.
Nagalakat kamo pakadto sa tindahan.,You are walking toward the store.
Nagakadto kamo sa simbahan.,You are going to the church.
Nagahulat kamo sa simbahan.,You are waiting at the church.
Ara kamo sa simbahan.,You are at the church.
Nagalakat kamo pakadto sa simbahan.,You are walking toward the church.
Nagakadto kamo sa ospital.,You are going to the hospital.
Nagahulat kamo sa ospital.,You are waiting at the hospital.
Ara kamo sa ospital.,You are at the hospital.
Nagalakat kamo pakadto sa ospital.,You are walking toward the hospital.
Nagakadto kamo sa terminal.,You are going to the terminal.
Nagahulat kamo sa terminal.,You are waiting at the terminal.
Ara kamo sa terminal.,You are at the terminal.
Nagalakat kamo pakadto sa terminal.,You are walking toward the terminal.
Nagakadto kamo sa library.,You are going to the library.
Nagahulat kamo sa library.,You are waiting at the library.
Ara kamo sa library.,You are at the library.
Nagalakat kamo pakadto sa library.,You are walking toward the library.
Nagakadto kamo sa banwa.,You are going to the town.
Nagahulat kamo sa banwa.,You are waiting at the town.
Ara kamo sa banwa.,You are at the town.
Nagalakat kamo pakadto sa banwa.,You are walking toward the town.
Nagakadto sila sa eskwelahan.,They are going to the school.
Nagahulat sila sa eskwelahan.,They are waiting at the school.
Ara sila sa eskwelahan.,They are at the school.
Nagalakat sila pakadto sa eskwelahan.,They are walking toward the school.
Nagakadto sila sa balay.,They are going to the house.
Nagahulat sila sa balay.,They are waiting at the house.
Ara sila sa balay.,They are at the house.
Nagalakat sila pakadto sa balay.,They are walking toward the house.
Nagakadto sila sa merkado.,They are going to the market.
Nagahulat sila sa merkado.,They are waiting at the market.
Ara sila sa merkado.,They are at the market.
Nagalakat sila pakadto sa merkado.,They are walking toward the market.
Nagakadto sila sa kusina.,They are going to the kitchen.
Nagahulat sila sa kusina.,They are waiting at the kitchen.
Ara sila sa kusina.,They are at the kitchen.
Nagalakat sila pakadto sa kusina.,They are walking toward the kitchen.
Nagakadto sila sa kwarto.,They are going to the room.
Nagahulat sila sa kwarto.,They are waiting at the room.
Ara sila sa kwarto.,They are at the room.
Nagalakat sila pakadto sa kwarto.,They are walking toward the room.
Nagakadto sila sa opisina.,They are going to the office.
Nagahulat sila sa opisina.,They are waiting at the office.
Ara sila sa opisina.,They are at the office.
Nagalakat sila pakadto sa opisina.,They are walking toward the office.
Nagakadto sila sa plaza.,They are going to the plaza.
Nagahulat sila sa plaza.,They are waiting at the plaza.
Ara sila sa plaza.,They are at the plaza.
Nagalakat sila pakadto sa plaza.,They are walking toward the plaza.
Nagakadto sila sa baybay.,They are going to the beach.
Nagahulat sila sa baybay.,They are waiting at the beach.
Ara sila sa baybay.,They are at the beach.
Nagalakat sila pakadto sa baybay.,They are walking toward the beach.
Nagakadto sila sa hardin.,They are going to the garden.
Nagahulat sila sa hardin.,They are waiting at the garden.
Ara sila sa hardin.,They are at the garden.
Nagalakat sila pakadto sa hardin.,They are walking toward the garden.
Nagakadto sila sa tindahan.,They are going to the store.
Nagahulat sila sa tindahan.,They are waiting at the store.
Ara sila sa tindahan.,They are at the store.
Nagalakat sila pakadto sa tindahan.,They are walking toward the store.
Nagakadto sila sa simbahan.,They are going to the church.
Nagahulat sila sa simbahan.,They are waiting at the church.
Ara sila sa simbahan.,They are at the church.
Nagalakat sila pakadto sa simbahan.,They are walking toward the church.
Nagakadto sila sa ospital.,They are going to the hospital.
Nagahulat sila sa ospital.,They are waiting at the hospital.
Ara sila sa ospital.,They are at the hospital.
Nagalakat sila pakadto sa ospital.,They are walking toward the hospital.
Nagakadto sila sa terminal.,They are going to the terminal.
Nagahulat sila sa terminal.,They are waiting at the terminal.
Ara sila sa terminal.,They are at the terminal.
Nagalakat sila pakadto sa terminal.,They are walking toward the terminal.
Nagakadto sila sa library.,They are going to the library.
Nagahulat sila sa library.,They are waiting at the library.
Ara sila sa library.,They are at the library.
Nagalakat sila pakadto sa library.,They are walking toward the library.
Nagakadto sila sa banwa.,They are going to the town.
Nagahulat sila sa banwa.,They are waiting at the town.
Ara sila sa banwa.,They are at the town.
Nagalakat sila pakadto sa banwa.,They are walking toward the town.
Ginahawiran ko ang libro.,I am holding the book.
Ginabutang ko ang libro sa lamesa.,I am putting the book on the table.
Ginakuha ko ang libro sa bag.,I am taking the book from the bag.
Ginatago ko ang libro sa aparador.,I am keeping the book in the cabinet.
Ginahawiran ko ang lapis.,I am holding the pencil.
Ginabutang ko ang lapis sa lamesa.,I am putting the pencil on the table.
Ginakuha ko ang lapis sa bag.,I am taking the pencil from the bag.
Ginatago ko ang lapis sa aparador.,I am keeping the pencil in the cabinet.
Ginahawiran ko ang bolpen.,I am holding the pen.
Ginabutang ko ang bolpen sa lamesa.,I am putting the pen on the table.
Ginakuha ko ang bolpen sa bag.,I am taking the pen from the bag.
Ginatago ko ang bolpen sa aparador.,I am keeping the pen in the cabinet.
Ginahawiran ko ang payong.,I am holding the umbrella.
Ginabutang ko ang payong sa lamesa.,I am putting the umbrella on the table.
Ginakuha ko ang payong sa bag.,I am taking the umbrella from the bag.
Ginatago ko ang payong sa aparador.,I am keeping the umbrella in the cabinet.
Ginahawiran ko ang panyo.,I am holding the handkerchief.
Ginabutang ko ang panyo sa lamesa.,I am putting the handkerchief on the table.
Ginakuha ko ang panyo sa bag.,I am taking the handkerchief from the bag.
Ginatago ko ang panyo sa aparador.,I am keeping the handkerchief in the cabinet.
Ginahawiran ko ang selpon.,I am holding the cellphone.
Ginabutang ko ang selpon sa lamesa.,I am putting the cellphone on the table.
Ginakuha ko ang selpon sa bag.,I am taking the cellphone from the bag.
Ginatago ko ang selpon sa aparador.,I am keeping the cellphone in the cabinet.
Ginahawiran ko ang bag.,I am holding the bag.
Ginabutang ko ang bag sa lamesa.,I am putting the bag on the table.
Ginakuha ko ang bag sa bag.,I am taking the bag from the bag.
Ginatago ko ang bag sa aparador.,I am keeping the bag in the cabinet.
Ginahawiran ko ang papel.,I am holding the paper.
Ginabutang ko ang papel sa lamesa.,I am putting the paper on the table.
Ginakuha ko ang papel sa bag.,I am taking the paper from the bag.
Ginatago ko ang papel sa aparador.,I am keeping the paper in the cabinet.
Ginahawiran ko ang baso.,I am holding the glass.
Ginabutang ko ang baso sa lamesa.,I am putting the glass on the table.
Ginakuha ko ang baso sa bag.,I am taking the glass from the bag.
Ginatago ko ang baso sa aparador.,I am keeping the glass in the cabinet.
Ginahawiran ko ang plato.,I am holding the plate.
Ginabutang ko ang plato sa lamesa.,I am putting the plate on the table.
Ginakuha ko ang plato sa bag.,I am taking the plate from the bag.
Ginatago ko ang plato sa aparador.,I am keeping the plate in the cabinet.
Ginahawiran ko ang kutsara.,I am holding the spoon.
Ginabutang ko ang kutsara sa lamesa.,I am putting the spoon on the table.
Ginakuha ko ang kutsara sa bag.,I am taking the spoon from the bag.
Ginatago ko ang kutsara sa aparador.,I am keeping the spoon in the cabinet.
Ginahawiran ko ang bulak.,I am holding the flower.
Ginabutang ko ang bulak sa lamesa.,I am putting the flower on the table.
Ginakuha ko ang bulak sa bag.,I am taking the flower from the bag.
Ginatago ko ang bulak sa aparador.,I am keeping the flower in the cabinet.
Ginahawiran ko ang yabi.,I am holding the key.
Ginabutang ko ang yabi sa lamesa.,I am putting the key on the table.
Ginakuha ko ang yabi sa bag.,I am taking the key from the bag.
Ginatago ko ang yabi sa aparador.,I am keeping the key in the cabinet.
Ginahawiran ko ang kwaderno.,I am holding the notebook.
Ginabutang ko ang kwaderno sa lamesa.,I am putting the notebook on the table.
Ginakuha ko ang kwaderno sa bag.,I am taking the notebook from the bag.
Ginatago ko ang kwaderno sa aparador.,I am keeping the notebook in the cabinet.
Ginahawiran mo ang libro.,You are holding the book.
Ginabutang mo ang libro sa lamesa.,You are putting the book on the table.
Ginakuha mo ang libro sa bag.,You are taking the book from the bag.
Ginatago mo ang libro sa aparador.,You are keeping the book in the cabinet.
Ginahawiran mo ang lapis.,You are holding the pencil.
Ginabutang mo ang lapis sa lamesa.,You are putting the pencil on the table.
Ginakuha mo ang lapis sa bag.,You are taking the pencil from the bag.
Ginatago mo ang lapis sa aparador.,You are keeping the pencil in the cabinet.
Ginahawiran mo ang bolpen.,You are holding the pen.
Ginabutang mo ang bolpen sa lamesa.,You are putting the pen on the table.
Ginakuha mo ang bolpen sa bag.,You are taking the pen from the bag.
Ginatago mo ang bolpen sa aparador.,You are keeping the pen in the cabinet.
Ginahawiran mo ang payong.,You are holding the umbrella.
Ginabutang mo ang payong sa lamesa.,You are putting the umbrella on the table.
Ginakuha mo ang payong sa bag.,You are taking the umbrella from the bag.
Ginatago mo ang payong sa aparador.,You are keeping the umbrella in the cabinet.
Ginahawiran mo ang panyo.,You are holding the handkerchief.
Ginabutang mo ang panyo sa lamesa.,You are putting the handkerchief on the table.
Ginakuha mo ang panyo sa bag.,You are taking the handkerchief from the bag.
Ginatago mo ang panyo sa aparador.,You are keeping the handkerchief in the cabinet.
Ginahawiran mo ang selpon.,You are holding the cellphone.
Ginabutang mo ang selpon sa lamesa.,You are putting the cellphone on the table.
Ginakuha mo ang selpon sa bag.,You are taking the cellphone from the bag.
Ginatago mo ang selpon sa aparador.,You are keeping the cellphone in the cabinet.
Ginahawiran mo ang bag.,You are holding the bag.
Ginabutang mo ang bag sa lamesa.,You are putting the bag on the table.
Ginakuha mo ang bag sa bag.,You are taking the bag from the bag.
Ginatago mo ang bag sa aparador.,You are keeping the bag in the cabinet.
Ginahawiran mo ang papel.,You are holding the paper.
Ginabutang mo ang papel sa lamesa.,You are putting the paper on the table.
Ginakuha mo ang papel sa bag.,You are taking the paper from the bag.
Ginatago mo ang papel sa aparador.,You are keeping the paper in the cabinet.
Ginahawiran mo ang baso.,You are holding the glass.
Ginabutang mo ang baso sa lamesa.,You are putting the glass on the table.
Ginakuha mo ang baso sa bag.,You are taking the glass from the bag.
Ginatago mo ang baso sa aparador.,You are keeping the glass in the cabinet.
Ginahawiran mo ang plato.,You are holding the plate.
Ginabutang mo ang plato sa lamesa.,You are putting the plate on the table.
Ginakuha mo ang plato sa bag.,You are taking the plate from the bag.
Ginatago mo ang plato sa aparador.,You are keeping the plate in the cabinet.
Ginahawiran mo ang kutsara.,You are holding the spoon.
Ginabutang mo ang kutsara sa lamesa.,You are putting the spoon on the table.
Ginakuha mo ang kutsara sa bag.,You are taking the spoon from the bag.
Ginatago mo ang kutsara sa aparador.,You are keeping the spoon in the cabinet.
Ginahawiran mo ang bulak.,You are holding the flower.
Ginabutang mo ang bulak sa lamesa.,You are putting the flower on the table.
Ginakuha mo ang bulak sa bag.,You are taking the flower from the bag.
Ginatago mo ang bulak sa aparador.,You are keeping the flower in the cabinet.
Ginahawiran mo ang yabi.,You are holding the key.
Ginabutang mo ang yabi sa lamesa.,You are putting the key on the table.
Ginakuha mo ang yabi sa bag.,You are taking the key from the bag.
Ginatago mo ang yabi sa aparador.,You are keeping the key in the cabinet.
Ginahawiran mo ang kwaderno.,You are holding the notebook.
Ginabutang mo ang kwaderno sa lamesa.,You are putting the notebook on the table.
Ginakuha mo ang kwaderno sa bag.,You are taking the notebook from the bag.
Ginatago mo ang kwaderno sa aparador.,You are keeping the notebook in the cabinet.
Ginahawiran niya ang libro.,He/She is holding the book.
Ginabutang niya ang libro sa lamesa.,He/She is putting the book on the table.
Ginakuha niya ang libro sa bag.,He/She is taking the book from the bag.
Ginatago niya ang libro sa aparador.,He/She is keeping the book in the cabinet.
Ginahawiran niya ang lapis.,He/She is holding the pencil.
Ginabutang niya ang lapis sa lamesa.,He/She is putting the pencil on the table.
Ginakuha niya ang lapis sa bag.,He/She is taking the pencil from the bag.
Ginatago niya ang lapis sa aparador.,He/She is keeping the pencil in the cabinet.
Ginahawiran niya ang bolpen.,He/She is holding the pen.
Ginabutang niya ang bolpen sa lamesa.,He/She is putting the pen on the table.
Ginakuha niya ang bolpen sa bag.,He/She is taking the pen from the bag.
Ginatago niya ang bolpen sa aparador.,He/She is keeping the pen in the cabinet.
Ginahawiran niya ang payong.,He/She is holding the umbrella.
Ginabutang niya ang payong sa lamesa.,He/She is putting the umbrella on the table.
Ginakuha niya ang payong sa bag.,He/She is taking the umbrella from the bag.
Ginatago niya ang payong sa aparador.,He/She is keeping the umbrella in the cabinet.
Ginahawiran niya ang panyo.,He/She is holding the handkerchief.
Ginabutang niya ang panyo sa lamesa.,He/She is putting the handkerchief on the table.
Ginakuha niya ang panyo sa bag.,He/She is taking the handkerchief from the bag.
Ginatago niya ang panyo sa aparador.,He/She is keeping the handkerchief in the cabinet.
Ginahawiran niya ang selpon.,He/She is holding the cellphone.
Ginabutang niya ang selpon sa lamesa.,He/She is putting the cellphone on the table.
Ginakuha niya ang selpon sa bag.,He/She is taking the cellphone from the bag.
Ginatago niya ang selpon sa aparador.,He/She is keeping the cellphone in the cabinet.
Ginahawiran niya ang bag.,He/She is holding the bag.
Ginabutang niya ang bag sa lamesa.,He/She is putting the bag on the table.
Ginakuha niya ang bag sa bag.,He/She is taking the bag from the bag.
Ginatago niya ang bag sa aparador.,He/She is keeping the bag in the cabinet.
Ginahawiran niya ang papel.,He/She is holding the paper.
Ginabutang niya ang papel sa lamesa.,He/She is putting the paper on the table.
Ginakuha niya ang papel sa bag.,He/She is taking the paper from the bag.
Ginatago niya ang papel sa aparador.,He/She is keeping the paper in the cabinet.
Ginahawiran niya ang baso.,He/She is holding the glass.
Ginabutang niya ang baso sa lamesa.,He/She is putting the glass on the table.
Ginakuha niya ang baso sa bag.,He/She is taking the glass from the bag.
Ginatago niya ang baso sa aparador.,He/She is keeping the glass in the cabinet.
Ginahawiran niya ang plato.,He/She is holding the plate.
Ginabutang niya ang plato sa lamesa.,He/She is putting the plate on the table.
Ginakuha niya ang plato sa bag.,He/She is taking the plate from the bag.
Ginatago niya ang plato sa aparador.,He/She is keeping the plate in the cabinet.
Ginahawiran niya ang kutsara.,He/She is holding the spoon.
Ginabutang niya ang kutsara sa lamesa.,He/She is putting the spoon on the table.
Ginakuha niya ang kutsara sa bag.,He/She is taking the spoon from the bag.
Ginatago niya ang kutsara sa aparador.,He/She is keeping the spoon in the cabinet.
Ginahawiran niya ang bulak.,He/She is holding the flower.
Ginabutang niya ang bulak sa lamesa.,He/She is putting the flower on the table.
Ginakuha niya ang bulak sa bag.,He/She is taking the flower from the bag.
Ginatago niya ang bulak sa aparador.,He/She is keeping the flower in the cabinet.
Ginahawiran niya ang yabi.,He/She is holding the key.
Ginabutang niya ang yabi sa lamesa.,He/She is putting the key on the table.
Ginakuha niya ang yabi sa bag.,He/She is taking the key from the bag.
Ginatago niya ang yabi sa aparador.,He/She is keeping the key in the cabinet.
Ginahawiran niya ang kwaderno.,He/She is holding the notebook.
Ginabutang niya ang kwaderno sa lamesa.,He/She is putting the notebook on the table.
Ginakuha niya ang kwaderno sa bag.,He/She is taking the notebook from the bag.
Ginatago niya ang kwaderno sa aparador.,He/She is keeping the notebook in the cabinet.
Ginahawiran namon ang libro.,We are holding the book.
Ginabutang namon ang libro sa lamesa.,We are putting the book on the table.
Ginakuha namon ang libro sa bag.,We are taking the book from the bag.
Ginatago namon ang libro sa aparador.,We are keeping the book in the cabinet.
Ginahawiran namon ang lapis.,We are holding the pencil.
Ginabutang namon ang lapis sa lamesa.,We are putting the pencil on the table.
Ginakuha namon ang lapis sa bag.,We are taking the pencil from the bag.
Ginatago namon ang lapis sa aparador.,We are keeping the pencil in the cabinet.
Ginahawiran namon ang bolpen.,We are holding the pen.
Ginabutang namon ang bolpen sa lamesa.,We are putting the pen on the table.
