reference	hiligaynon	english
2KI.4.3	Nagsiling si Elisha, “Kadtui ang tanan mo nga kasilingan kag magpanghulam ka sang madamo nga suludlan.	Then he said, Go, borrow thee vessels abroad of all thy neighbours, even even empty vessels; borrow not a few.
2KI.4.30	Pero nagsiling ang iloy sang bata kay Elisha, kay Elisha, “Nagasumpa ako sa buhi nga Ginoo Ginoo kag sa imo, nga indi gid ako magpuli kon indi ka mag-upod sa akon.” Gani naglakat si Elisha upod sa iya.	And the mother of the child said, As As the LORD LORD liveth, and as as thy soul liveth, I will not leave thee. And he arose, and followed her.
2KI.4.31	Nag-una si Gehazi kag ginbutang niya ang sungkod sa guya sang bata, pero wala gid nagtingog ukon naghulag ang bata. Gani nagbalik si Gehazi sa pagsugata kay Elisha kag nagsiling, “Wala gid mabuhi ang bata.”	And Gehazi passed on before them, and laid the staff upon the face of the child; but there was there was neither voice, nor hearing. Wherefore he went again to meet him, and told him, saying, The child is not awaked.
2KI.4.32	Sang pag-abot ni Elisha sa balay, nakita niya didto sa iya kuwarto didto sa iya kuwarto ang bata nga nagahamyang sa iya katre.	And when Elisha was come into the house, behold, the child was dead, and and laid upon his bed.
2KI.4.33	Nagsulod siya kag ginsira ang puwertahan, kag nagpangamuyo sa Ginoo Ginoo .	He went in therefore, and shut the door upon them twain, and prayed unto the LORD LORD .
2KI.4.34	Dayon ginhap-an niya ang bata, nga ang iya baba sa baba sang bata, ang iya mata sa mata sang bata, kag ang iya kamot sa kamot sang bata. Samtang ginahap-an niya ang bata, amat-amat nga nag-init ang lawas sang bata.	And he went up, and lay upon the child, and put his mouth upon his mouth, and his eyes upon his eyes, and his hands upon his hands: and he stretched himself upon the child; and the flesh of the child waxed warm.
2KI.4.35	Nagtindog si Elisha, kag nagpakadto-pakari sa kuwarto. Dayon ginhap-an niya liwat ang bata. Nagpangatsi ang bata sing makapito ka beses, dayon ginmuklat niya ang iya mga mata.	Then he returned, and walked in the house to and fro; and went up, and stretched himself upon him: and the child sneezed seven times, and the child opened his eyes.
2KI.4.36	Gintawag ni Elisha si Gehazi kag ginsilingan, “Tawga ang iya iloy.” Gani gintawag niya siya. Pag-abot sang babayi nagsiling si Elisha sa iya, “Kuhaa ang imo bata.”	And he called Gehazi, and said, Call this Shunammite. So he called her. And when she was come in unto him, he said, Take up thy son.
2KI.4.37	Nagsulod ang babayi kag nagluhod sa tiilan ni Elisha sa pagpasalamat sa pagpasalamat # 4:37 pagpasalamat: ukon, pagpadungog # 4:37 pagpasalamat: ukon, pagpadungog 4:37 pagpasalamat: ukon, pagpadungog sa iya sa iya . Dayon ginkuha niya ang iya bata kag gindala panaog.	Then she went in, and fell at his feet, and bowed herself to the ground, and took up her son, and went out.
2KI.4.38	Sang pagbalik ni Elisha sa Gilgal, may gutom didto. Karon, Karon, samtang nagapakig-estorya ang grupo sang mga propeta sa iya, nagsiling siya sa iya suluguon, “Isun-ad ang dako nga kolon kag magluto sang sopas para sa sini nga mga tawo.”	And Elisha came again to Gilgal: and there was there was a dearth in the land; and the sons of the prophets were were sitting before him: and he said unto his servant, Set on the great pot, and seethe pottage for the sons of the prophets.
2KI.4.39	Ang isa sa mga propeta nagkadto sa uma sa pagpangutan. Nakakita siya sang utan nga nagakabod lang didto, kag nagpanguha siya sang mga bunga sini nga sarang lang niya madala sa iya bayo. Pagpuli niya, ginpangkihad-kihad niya ini kag ginlakot sa ginaluto nga sopas, nga wala gani niya nahibaluan kon ano ato.	And one went out into the field to gather herbs, and found a wild vine, and gathered thereof wild gourds his lap full, and came and shred them them into the pot of pottage: for they knew them them not.
2KI.4.4	Dayon magsulod kamo sang imo mga anak sa inyo balay kag siraduhi ninyo ang puwertahan. Ibubo ninyo sa tanan nga suludlan ang lana nga ara sa tibod nga ara sa tibod . Pagkapuno sang kada suludlan, paina dayon.”	And when thou art come in, thou shalt shut the door upon thee and upon thy sons, and shalt pour out into all those vessels, and thou shalt set aside that which is full.
2KI.4.40	Pagkaluto sang sopas, Pagkaluto sang sopas, ginserbi dayon ini sa mga tawo. Pero sang nagkaon na sila, nagsinggit sila, “Alagad sang Dios, kalain gid sang iya sabor!” # 4:40 kalain gid sang iya sabor: ukon, makahililo ini # 4:40 kalain gid sang iya sabor: ukon, makahililo ini 4:40 kalain gid sang iya sabor: ukon, makahililo ini Kag indi nila ato makaon.	So they poured out for the men to eat. And it came to pass, as they were eating of the pottage, that they cried out, and said, O thou thou man of God, there is there is death in the pot. And they could not eat thereof thereof .
2KI.4.41	Nagsiling si Elisha, “Kuhai ako sang harina.” Ginbubo niya dayon ang harina sa kolon kag nagsiling sa suluguon, sa suluguon, “Sige, iserbi na ini sa ila para makakaon sila.” Kag maayo na ang sabor sini. # 4:41 maayo na ang sabor sini: ukon, indi na ini makahililo # 4:41 maayo na ang sabor sini: ukon, indi na ini makahililo 4:41 maayo na ang sabor sini: ukon, indi na ini makahililo	But he said, Then bring meal. And he cast it it into the pot; and he said, Pour out for the people, that they may eat. And there was no harm in the pot.
2KI.4.42	Sang isa naman ka tion, Sang isa naman ka tion, may isa ka tawo nga halin sa Baal Shalisha nga nagdala kay Elisha, nga Elisha, nga alagad sang Dios, sang sako nga may unod nga 20 ka tinapay nga hinimo halin sa nahauna nga patubas sang barley, kag bag-o nga inani nga uyas. Nagsiling si Elisha, “Ihatag ina sa grupo sang mga propeta # 4:42 sa grupo sang mga propeta: sa Hebreo, sa mga tawo # 4:42 sa grupo sang mga propeta: sa Hebreo, sa mga tawo 4:42 sa grupo sang mga propeta: sa Hebreo, sa mga tawo para ila kaunon.”	And there came a man from Baal-shalisha, and brought the man of God bread of the firstfruits, twenty loaves of barley, and full ears of corn in the husk thereof. And he said, Give unto the people, that they may eat.
2KI.4.43	Nagsiling ang iya kabulig, “Paano ko ini mapaigo sa 100 ka tawo?” Nagsabat si Elisha, “Ihatag lang sa ila para makakaon sila. Kay nagasiling ang Ginoo Ginoo nga makakaon sila kag may mabilin pa.”	And his servitor said, What, should I set this before an hundred men? He said again, Give the people, that they may eat: for thus saith the LORD LORD , They shall eat, and shall leave thereof thereof .
2KI.4.44	Gani ginhatag ini sang suluguon sa mga propeta kag nagkaon sila, kag may nabilin pa, suno sa ginsiling sang Ginoo Ginoo .	So he set it it before them, and they did eat, and left thereof thereof , according to the word of the LORD LORD .
2KI.4.5	Gani ginhimo sang babayi ang ginsiling ni Elisha sa iya, kag nagpanirado sila sang iya mga anak sa ila balay. Dayon gindala sang iya mga anak ang mga suludlan sa iya, kag ginbutangan niya ini sang lana.	So she went from him, and shut the door upon her and upon her sons, who brought the vessels the vessels to her; and she poured out.
2KI.4.6	Sang napuno na ang tanan nga suludlan, nagsiling siya sa iya anak, “Hatagi pa ako sang suludlan.” Nagsabat ang iya anak, “Wala na sang suludlan.” Kag nag-untat dayon ang pag-ilig sang lana.	And it came to pass, when the vessels were full, that she said unto her son, Bring me yet a vessel. And he said unto her, There is There is not a vessel more. And the oil stayed.
2KI.4.7	Nagkadto ang babayi kay Elisha nga Elisha nga alagad sang Dios kag ginsugiran niya siya sa natabo. Nagsiling si Elisha sa iya, “Lakat kag ibaligya ang lana kag bayari ang imo utang. May sobra ka pa nga kuwarta nga mabilin nga sarang makabuhi sa imo kag sa imo mga anak.”	Then she came and told the man of God. And he said, Go, sell the oil, and pay thy debt, and live thou and thy children of the rest.
2KI.4.8	Isa ka adlaw, nagkadto si Elisha sa Shunem. May manggaranon didto nga babayi nga nag-agda kay Elisha nga magkaon. Halin sadto, kon mag-agi si Elisha sa Shunem, nagahapit siya sa balay sang babayi kag magkaon.	And it fell on a day, that Elisha passed to Shunem, where was was a great woman; and she constrained him to eat bread. And so so it was, that that as oft as he passed by, he turned in thither to eat bread.
2KI.4.9	Karon nagsiling ang babayi sa iya bana, “Nahibaluan ko nga ining tawo nga nagahapit diri permi sa aton isa ka balaan nga alagad sang Dios.	And she said unto her husband, Behold now, I perceive that this is is an holy man of God, which passeth by us continually.
2KI.5.1	Si Naaman nga kumander sang mga soldado sang Aram # 5:1 Aram: ukon, Syria # 5:1 Aram: ukon, Syria 5:1 Aram: ukon, Syria ginatahod gid sang hari sang Aram, kay paagi sa iya ginpadaog sang Ginoo Ginoo ang Aram. Maayo siya nga soldado, pero may delikado siya nga balatian sa panit. # 5:1 delikado siya nga balatian sa panit: sa iban nga mga translations, aro. Ang Hebreo nga pulong sini ginagamit sa pila ka klase sang balatian sa panit nga ginakabig nga mahigko, suno sa Lev. 13. # 5:1 delikado siya nga balatian sa panit: sa iban nga mga translations, aro. Ang Hebreo nga pulong sini ginagamit sa pila ka klase sang balatian sa panit nga ginakabig nga mahigko, suno sa Lev. 13. 5:1 delikado siya nga balatian sa panit: sa iban nga mga translations, aro. Ang Hebreo nga pulong sini ginagamit sa pila ka klase sang balatian sa panit nga ginakabig nga mahigko, suno sa Lev. 13.	Now Naaman, captain of the host of the king of Syria, was a great man with his master, and honourable, because by him the LORD LORD had given deliverance unto Syria: he was also a mighty man in valour, but he was but he was a leper.
2KI.5.10	Nagsugo si Elisha sang mensahero sa pagsiling kay Naaman nga magkadto siya sa Suba sang Suba sang Jordan kag magpanghugas sang iya kaugalingon sing makapito ka beses, kag magaayo siya.	And Elisha sent a messenger unto him, saying, Go and wash in Jordan seven times, and thy flesh shall come again to thee, and thou shalt be clean.
2KI.5.11	Pero nangakig si Naaman kag naglakat nga nagakumod, “Abi ko sigurado gid nga magguwa siya kag mag-atubang sa akon. Nagpaabot ako nga magpanawag siya sa Ginoo Ginoo nga iya Dios kag magbayaw sang iya kamot sa ibabaw sang akon balatian sa panit kag ayuhon ako.	But Naaman was wroth, and went away, and said, Behold, I thought, He will surely come out to me, and stand, and call on the name of the LORD LORD his God, and strike his hand over the place, and recover the leper.
2KI.5.12	Indi bala nga mas maayo ang mga suba sang Abana kag sang Farfar sa Damascus sang sa iban nga mga suba diri sa Israel? Ngaa indi ako magpanghugas didto para mag-ayo ako?” Gani naglakat siya nga akig gid.	Are Are not Abana and Pharpar, rivers of Damascus, better than all the waters of Israel? may I not wash in them, and be clean? So he turned and went away in a rage.
2KI.5.13	Pero nagpalapit ang iya mga suluguon sa iya kag nagsiling, “Sir, kon nagsugo ang propeta sa imo sa paghimo sang dako nga butang, indi bala nga himuon mo? Ti, ngaa indi mo paghimuon ang iya ginsiling nga magpanghugas ka para mag-ayo ka?”	And his servants came near, and spake unto him, and said, My father, if if the prophet had bid thee do some do some great thing, wouldest thou not have done it? it? how much rather then, when he saith to thee, Wash, and be clean?
2KI.5.14	Gani naglakat si Naaman sa Suba sang Suba sang Jordan kag nagpanghugas sang iya kaugalingon sing makapito ka beses, suno sa ginsiling sang alagad sang Dios. Kag nag-ayo ang iya balatian kag naglimpyo ang iya panit pareho sa panit sang isa ka gamay nga bata.	Then went he down, and dipped himself seven times in Jordan, according to the saying of the man of God: and his flesh came again like unto the flesh of a little child, and he was clean.
2KI.5.15	Dayon nagbalik si Naaman kag ang iya mga kaupod sa alagad sang Dios. Nagtindog siya sa atubangan ni Elisha kag nagsiling, “Karon nahibaluan ko na nga wala sing iban nga Dios sa bilog nga kalibutan luwas sa Dios sang Israel. Gani palihog batuna ining regalo ko sa imo, sir.”	And he returned to the man of God, he and all his company, and came, and stood before him: and he said, Behold, now I know that there is there is no God in all the earth, but in Israel: now therefore, I pray thee, take a blessing of thy servant.
2KI.5.16	Nagsabat si Elisha, “Nagasumpa ako sa buhi nga Ginoo Ginoo , nga akon ginaalagad, nga indi ako magbaton sang regalo.” Ginpilit siya ni Naaman nga batunon niya ang regalo, pero indi gid siya magbaton.	But he said, As As the LORD LORD liveth, before whom I stand, I will receive none. And he urged him to take it it ; but he refused.
2KI.5.17	Nagsiling si Naaman, “Kon indi ka gid, sir, tuguti na lang ako nga kargahan ko ang akon duha ka kabayo # 5:17 kabayo: Ang sapat nga ginmitlang diri ginatawag sa English nga mule, kag kaanggid ini sa kabayo. # 5:17 kabayo: Ang sapat nga ginmitlang diri ginatawag sa English nga mule, kag kaanggid ini sa kabayo. 5:17 kabayo: Ang sapat nga ginmitlang diri ginatawag sa English nga mule, kag kaanggid ini sa kabayo. sang duta nga halin diri, kag dal-on ko sa amon. # 5:17 Ginapatihan sang una nga ang isa ka dios dapat simbahon sa iya kaugalingon nga duta. # 5:17 Ginapatihan sang una nga ang isa ka dios dapat simbahon sa iya kaugalingon nga duta. 5:17 Ginapatihan sang una nga ang isa ka dios dapat simbahon sa iya kaugalingon nga duta. Kay sugod subong indi na ako maghalad sang mga halad nga ginasunog kag sang iban pa nga mga halad sa iban nga dios kundi sa Ginoo Ginoo lang.	And Naaman said, Shall there not then, I pray thee, be given to thy servant two mules' burden of earth? for thy servant will henceforth offer neither burnt offering nor sacrifice unto other gods, but unto the LORD LORD .
2KI.5.18	Pero kabay pa, sir, nga patawaron ako sang Ginoo Ginoo kon mag-upod ako sa akon hari sa templo sang dios nga si Rimmon para magsimba didto. Dapat lang nga himuon ko ini bilang isa ka opisyal nga ginasaligan sang hari. Pero kabay pa nga patawaron ako sang Ginoo Ginoo kon magluhod man ako didto.”	In this thing the LORD LORD pardon thy servant, that that when my master goeth into the house of Rimmon to worship there, and he leaneth on my hand, and I bow myself in the house of Rimmon: when I bow down myself in the house of Rimmon, the LORD LORD pardon thy servant in this thing.
2KI.5.19	Pero indi pa gani malayo ang nalaktan ni Naaman,	And he said unto him, Go in peace. So he departed from him a little way.
2KI.5.2	Sang nagsalakay ang mga soldado sang Aram sa Israel, may nabihag sila nga dalagita nga nangin suluguon sang asawa ni Naaman.	And the Syrians had gone out by companies, and had brought away captive out of the land of Israel a little maid; and she waited on Naaman's wife.
2KI.5.20	nagsiling si Gehazi sa iya kaugalingon sa iya kaugalingon , “Ginpalakat sang akon agalon si Naaman nga Arameanhon nga wala niya pagbatuna ang regalo nga dala niya. Nagasumpa ako sa buhi nga Ginoo Ginoo nga lagson ko siya kag magkuha sang bisan ano sa iya.”	But Gehazi, the servant of Elisha the man of God, said, Behold, my master hath spared Naaman this Syrian, in not receiving at his hands that which he brought: but, as as the LORD LORD liveth, I will run after him, and take somewhat of him.
2KI.5.21	Gani dali-dali nga ginlagas ni Gehazi si Naaman. Pagkakita ni Naaman kay Gehazi nga nagadalagan pakadto sa iya, nagpanaog siya sa karwahe kag ginsugata siya. Nagpamangkot si Naaman, “May malain bala nga natabo?”	So Gehazi followed after Naaman. And when Naaman saw him him running after him, he lighted down from the chariot to meet him, and said, Is Is all well?
2KI.5.22	Nagsabat si Gehazi, “Wala man. Ginsugo lang ako sang akon agalon nga silingon ka nga may nag-abot bag-o lang gid nga duha ka bataon nga tawo nga miyembro sang grupo sang mga propeta, nga halin sa kabukiran sang Efraim. Kag nagpangabay ang akon agalon nga hatagan mo sila sang 35 ka kilo nga pilak kag duha ka panid nga bayo.”	And he said, All is is well. My master hath sent me, saying, Behold, even now there be come to me from mount Ephraim two young men of the sons of the prophets: give them, I pray thee, a talent of silver, and two changes of garments.
2KI.5.23	Nagsiling si Naaman, “Huo, ari ang 70 ka kilo nga pilak.” Kag ginpilit pa siya ni Naaman nga batunon ato. Ginsulod ni Naaman ang pilak sa duha ka bag pati ang duha ka panid nga bayo, kag ginhatag ini sa iya duha ka suluguon nga amo ang magdala sini para kay Gehazi.	And Naaman said, Be content, take two talents. And he urged him, and bound two talents of silver in two bags, with two changes of garments, and laid them them upon two of his servants; and they bare them them before him.
2KI.5.24	Pag-abot ni Gehazi sa bukid, ginkuha niya sa mga suluguon ang duha ka bag kag ginpabalik sila. Dayon gindala niya ato sa balay kag gintago,	And when he came to the tower, he took them them from their hand, and bestowed them them in the house: and he let the men go, and they departed.
2KI.5.25	kag nagpakita siya dayon kay Elisha. Nagpamangkot si Elisha sa iya, “Diin ka naghalin, Gehazi?” Nagsabat si Gehazi, “Wala ako sing may ginkadtuan.”	But he went in, and stood before his master. And Elisha said unto him, Whence comest thou comest thou , Gehazi? And he said, Thy servant went no whither.
2KI.5.26	Pero nagsiling si Elisha, “Wala ka bala kahibalo nga ang akon espiritu ato didto sang nagpanaog si Naaman sa iya karwahe sa pagsugata sa imo? Indi ini tion sa pagbaton sang kuwarta, bayo, talamnan sang olibo, talamnan sang ubas, kasapatan, kag mga ulipon nga lalaki kag babayi.	And he said unto him, Went not mine heart with thee with thee , when the man turned again from his chariot to meet thee? Is it Is it a time to receive money, and to receive garments, and oliveyards, and vineyards, and sheep, and oxen, and menservants, and maidservants?
2KI.5.27	Tungod nga ginhimo mo ini, ang balatian sa panit ni Naaman magasaylo sa imo kag sa imo mga kaliwat hasta san-o.” Paghalin ni Gehazi kay Elisha nagputi gid ang iya panit tungod sa balatian.	The leprosy therefore of Naaman shall cleave unto thee, and unto thy seed for ever. And he went out from his presence a leper as white as white as snow.
2KI.5.3	Isa ka adlaw, nagsiling ining dalagita sa iya ama, “Kon magpakigkita lang ang akon agalon nga si Naaman nga si Naaman sa propeta nga didto sa Samaria, ayuhon gid niya siya sa iya balatian sa panit.”	And she said unto her mistress, Would God my lord were were with the prophet that is is in Samaria! for he would recover him of his leprosy.
2KI.5.4	Gani ginsugiran ni Naaman ang hari parte sa ginsiling sang dalagita nga halin sa Israel.	And one one went in, and told his lord, saying, Thus and thus said the maid that is is of the land of Israel.
2KI.5.5	Nagsiling ang hari sang Aram, “Lakat, kag dal-on mo ang akon sulat sa hari sang Israel.” Gani naglakat si Naaman nga may dala nga regalo nga regalo nga 350 ka kilo nga pilak, 70 ka kilo nga bulawan kag napulo ka panid nga bayo.	And the king of Syria said, Go to, go, and I will send a letter unto the king of Israel. And he departed, and took with him ten talents of silver, and six thousand pieces pieces of gold, and ten changes of raiment.
2KI.5.6	Amo ini ang mensahi sang sulat nga gindala niya sa hari: “Ginapadala ko dira si Naaman nga akon alagad para ayuhon mo siya sa iya balatian sa panit.”	And he brought the letter to the king of Israel, saying, Now when this letter is come unto thee, behold, I have therewith therewith sent Naaman my servant to thee, that thou mayest recover him of his leprosy.
2KI.5.7	Pagkabasa sang hari sang Israel sang sulat, gin-gisi niya ang iya bayo sa kalain sang buot sa kalain sang buot kag nagsiling, “Ngaa sa akon niya ginpadala ining tawo para ayuhon ang iya balatian sa panit? Ano ako, Dios? May gahom bala ako sa pagpatay kag sa pagbuhi? Nagapangita lang siya sang kabangdanan nga mag-away kami!”	And it came to pass, when the king of Israel had read the letter, that he rent his clothes, and said, Am Am I God, to kill and to make alive, that this man doth send unto me to recover a man of his leprosy? Wherefore consider, I pray you, and see how he seeketh a quarrel against me.
2KI.5.8	Pagkahibalo ni Elisha, nga alagad sang Dios, sa natabo, nagpadala siya sang sini nga mensahi sa hari: “Ngaa gin-gisi mo ang imo bayo? Pakadtua diri sa akon ina nga tawo, kag mahibaluan niya nga may propeta sa Israel.”	And it was so so , when Elisha the man of God had heard that the king of Israel had rent his clothes, that he sent to the king, saying, Wherefore hast thou rent thy clothes? let him come now to me, and he shall know that there is a prophet in Israel.
2KI.5.9	Gani naglakat si Naaman upod sa iya mga kabayo kag karwahe kag nagpundo sa puwertahan sang balay ni Elisha.	So Naaman came with his horses and with his chariot, and stood at the door of the house of Elisha.
2KI.6.1	Isa ka tion, nagsiling kay Elisha ang grupo sang mga propeta, “Nakita mo mismo nga gamay ining lugar nga amon ginapakigkitaan sa imo.	And the sons of the prophets said unto Elisha, Behold now, the place where we dwell with thee is too strait for us.
2KI.6.10	Gani nagpasugo ang hari sang Israel sa sina nga lugar nga ginsiling ni Elisha nga hambalon ang mga pumuluyo didto nga mag-andam sila. Permi ini ginahimo ni Elisha. # 6:10 Ukon, Gani ginpausisa sang hari sang Israel ang lugar nga ginsiling ni Elisha. Ginapaandaman permi ni Elisha ang hari sang Israel para permi siya magbantay sa amo nga lugar. # 6:10 Ukon, Gani ginpausisa sang hari sang Israel ang lugar nga ginsiling ni Elisha. Ginapaandaman permi ni Elisha ang hari sang Israel para permi siya magbantay sa amo nga lugar. 6:10 Ukon, Gani ginpausisa sang hari sang Israel ang lugar nga ginsiling ni Elisha. Ginapaandaman permi ni Elisha ang hari sang Israel para permi siya magbantay sa amo nga lugar.	And the king of Israel sent to the place which the man of God told him and warned him of, and saved himself there, not once nor twice.
2KI.6.11	Tungod sini nangakig gid ang hari sang Aram. Gani ginpatawag niya ang iya mga opisyal kag ginsilingan, “Sin-o sa inyo ang nagadampig sa hari sang Israel?”	Therefore the heart of the king of Syria was sore troubled for this thing; and he called his servants, and said unto them, Will ye not shew me which of us is is for the king of Israel?
2KI.6.12	Nagsiling ang isa sang iya mga opisyal, “Wala gid sing bisan isa sa amon, Mahal nga Hari. Si Elisha nga propeta sa Israel amo ang nagasugid sa hari sang Israel sang tanan nga ginahambal mo bisan pa ang ginahambal mo sa imo kuwarto.”	And one of his servants said, None, my lord, O king: but Elisha, the prophet that is is in Israel, telleth the king of Israel the words that thou speakest in thy bedchamber.
2KI.6.13	Sang ginsugiran ang hari nga si Elisha ara sa Dotan,	And he said, Go and spy where he is is , that I may send and fetch him. And it was told him, saying, Behold, he is he is in Dothan.
2KI.6.14	nagpadala siya didto sang madamo nga soldado nga nagasakay sa mga kabayo kag mga karwahe. Nakaabot sila sa Dotan sang gab-i kag ginpalibutan nila ini.	Therefore sent he thither horses, and chariots, and a great host: and they came by night, and compassed the city about.
2KI.6.15	Pagkaaga, aga pa gid nagbugtaw ang suluguon ni Elisha, kag nakita niya ang mga soldado nga nagasakay sa mga kabayo kag mga karwahe nga nagapalibot sa banwa. Nagsiling siya kay Elisha, “Sir, ano na lang ang aton himuon?”	And when the servant of the man of God was risen early, and gone forth, behold, an host compassed the city both with horses and chariots. And his servant said unto him, Alas, my master! how shall we do?
2KI.6.16	Nagsabat si Elisha, “Indi ka magkahadlok. Mas madamo ang aton mga kaupod sang sa ila.”	And he answered, Fear not: for they that be be with us are are more than they that be be with them.
2KI.6.17	Nagpangamuyo dayon si Elisha, “ Ginoo Ginoo , buksi ang iya mga mata para makita niya.” Ginbuksan sang Ginoo Ginoo ang iya mga mata, kag nakita niya ang kabukiran sa palibot ni Elisha nga puno sang mga kabayo kag mga karwahe nga kalayo.	And Elisha prayed, and said, LORD LORD , I pray thee, open his eyes, that he may see. And the LORD LORD opened the eyes of the young man; and he saw: and, behold, the mountain was was full of horses and chariots of fire round about Elisha.
2KI.6.18	Samtang nagapakadto ang mga kaaway kay Elisha, nagpangamuyo siya, “ Ginoo Ginoo , bulaga # 6:18 bulaga: siguro ang buot silingon, patalanga # 6:18 bulaga: siguro ang buot silingon, patalanga 6:18 bulaga: siguro ang buot silingon, patalanga ini nga mga tawo.” Gani ginbulag sila sang Ginoo Ginoo suno sa ginpangabay ni Elisha.	And when they came down to him, Elisha prayed unto the LORD LORD , and said, Smite this people, I pray thee, with blindness. And he smote them with blindness according to the word of Elisha.
2KI.6.19	Nagsiling dayon si Elisha sa ila, “Indi ini amo ang dalan kag indi ini ang banwa sang Dotan sang Dotan . Sunod kamo sa akon kay dal-on ko kamo sa tawo nga inyo ginapangita.” Kag gindala sila ni Elisha sa Samaria.	And Elisha said unto them, This is is not the way, neither is is this the city: follow me, and I will bring you to the man whom ye seek. But he led them to Samaria.
2KI.6.2	Gani makadto kita sa Suba sang Suba sang Jordan nga sa diin may madamo nga kahoy. Mahimo kita didto sang lugar nga aton matipunan.” Nagsiling si Elisha, “Sige, lakat na kamo.”	Let us go, we pray thee, unto Jordan, and take thence every man a beam, and let us make us a place there, where we may dwell. And he answered, Go ye.
2KI.6.20	Pagsulod nila sa siyudad, nagpangamuyo si Elisha, “ Ginoo Ginoo , buksi ang ila mga mata para makakita sila.” Ginbuksan sang Ginoo Ginoo ang ila mga mata, kag nakita nila nga didto na sila sa Samaria.	And it came to pass, when they were come into Samaria, that Elisha said, LORD LORD , open the eyes of these men men , that they may see. And the LORD LORD opened their eyes, and they saw; and, behold, they were they were in the midst of Samaria.
2KI.6.21	Pagkakita sang hari sang Israel sa ila, ginpamangkot niya si Elisha, “Ano sa imo, sir? # 6:21 sir: sa Hebreo, amay ko # 6:21 sir: sa Hebreo, amay ko 6:21 sir: sa Hebreo, amay ko Pamatyon ko sila?”	And the king of Israel said unto Elisha, when he saw them, My father, shall I smite them? them? shall I smite them? them?
2KI.6.22	Nagsabat si Elisha, “Indi sila pagpatya. Bisan gani ang mga bihag sa inaway wala ta ginapatay. Hatagi sila sang pagkaon kag tubig para makakaon sila kag makainom, kag pagkatapos, pabalika sila sa ila hari.” # 6:22 hari: sa Hebreo, agalon # 6:22 hari: sa Hebreo, agalon 6:22 hari: sa Hebreo, agalon	And he answered, Thou shalt not smite them: them: wouldest thou smite those whom thou hast taken captive with thy sword and with thy bow? set bread and water before them, that they may eat and drink, and go to their master.
2KI.6.23	Gani nagpapunsyon ang hari para sa ila, kag pagkatapos ginpapuli niya sila sa ila hari. Kag wala na magsalakay ang mga Arameanhon sa duta sang Israel.	And he prepared great provision for them: and when they had eaten and drunk, he sent them away, and they went to their master. So the bands of Syria came no more into the land of Israel.
2KI.6.24	Pero sang ulihi gintipon ni Haring Ben Hadad sang Aram ang iya bilog nga mga soldado kag ginpalibutan ang Samaria.	And it came to pass after this, that Ben-hadad king of Syria gathered all his host, and went up, and besieged Samaria.
2KI.6.25	Tungod sini, puwerte ang gutom sa siyudad, hasta nga nagmalahal ang balaklon nagmalahal ang balaklon . Ang bili sang ulo sang donkey 80 ka bilog nga pilak, kag ang bili sang isa ka litse nga iti sang pating # 6:25 iti sang pating: Posible ngalan ini sang isa ka klase sang liso nga ulutanon. # 6:25 iti sang pating: Posible ngalan ini sang isa ka klase sang liso nga ulutanon. 6:25 iti sang pating: Posible ngalan ini sang isa ka klase sang liso nga ulutanon. lima ka bilog nga pilak.	And there was a great famine in Samaria: and, behold, they besieged it, until an ass's head was sold sold for fourscore pieces pieces of silver, and the fourth part of a cab of dove's dung for five pieces pieces of silver.
2KI.6.26	Isa ka tion, samtang nagaagi ang hari sang Israel sa ibabaw sang pader, may isa ka babayi nga nagsinggit sa iya, “Mahal nga Hari, buligi ako!”	And as the king of Israel was passing by upon the wall, there cried a woman unto him, saying, Help, my lord, O king.
2KI.6.27	Nagsabat ang hari, “Kon indi magbulig ang Ginoo Ginoo sa imo ano ang akon mahimo? Wala na ako sing trigo ukon ilimnon nga mahatag sa imo.”	And he said, If the LORD LORD do not help thee, whence shall I help thee? out of the barnfloor, or out of the winepress?
2KI.6.28	Nagpamangkot dayon ang hari, “Ano bala ang problema mo?” Nagsabat ang babayi, “Ini nga babayi nagsiling sa akon nga kaunon namon ang akon bata sa isa ka adlaw kag sa sunod nga adlaw, ang iya naman nga bata.	And the king said unto her, What aileth thee? And she answered, This woman said unto me, Give thy son, that we may eat him to day, and we will eat my son to morrow.
2KI.6.29	Gani ginluto namon ang akon bata kag ginkaon. Pagkasunod nga adlaw, ginsilingan ko siya nga ang iya naman bata ang amon kaunon, pero gintago niya ini.”	So we boiled my son, and did eat him: and I said unto her on the next day, Give thy son, that we may eat him: and she hath hid her son.
2KI.6.3	Pero nagsiling ang isa sa ila, “Kon puwede, sir, mag-upod ka na lang sa amon.” Nagsabat siya, “O, sige.”	And one said, Be content, I pray thee, and go with thy servants. And he answered, I will go.
2KI.6.30	Pagkabati sang hari sa ginsiling sang babayi, gin-gisi niya ang iya bayo sa puwerte nga kasubo sa puwerte nga kasubo . Kag samtang nagalakat siya sa ibabaw sang pader, nakita sang mga tawo nga nagasuksok siya sang sako nga nasampawan sang iya bayo sa pagpakita sang iya pagpangasubo sa pagpakita sang iya pagpangasubo .	And it came to pass, when the king heard the words of the woman, that he rent his clothes; and he passed by upon the wall, and the people looked, and, behold, he had he had sackcloth within upon his flesh.
